TIMESTAMP,Wind speed at 10 m (m/s),Wind direction at 10 m (°),Air temperature at 5 m (°C),Relative humidity at 5 m (%),Precipitation at 10 m (mm),Air pressure (hPa),Infrared temperature (°C),Infrared temperature (°C),PAR_down,PAR_up,Incoming shortwave radiation (W/m^2),Outgoing shortwave radiation (W/m^2),Incoming longwave radiation (W/m^2),Outgoing longwave radiation (W/m^2),Net radiation (W/m^2),Soil heat flux at - 0.06 m (W/m^2) - 1,Soil heat flux at - 0.06 m (W/m^2) - 2,Soil heat flux at - 0.06 m (W/m^2) - 3,Soil moisture at - 0.04 m (%),Soil moisture at - 0.1 m (%),Soil moisture at - 0.2 m (%),Soil moisture at - 0.4 m (%),Soil moisture at - 0.8 m (%),Soil moisture at - 1.2 m (%),Soil moisture at - 1.6 m (%),Soil temperature at - 0.00 m (°C),Soil temperature at - 0.04 m (°C),Soil temperature at - 0.1 m (°C),Soil temperature at - 0.2 m (°C),Soil temperature at - 0.4 m (°C),Soil temperature at - 0.8 m (°C),Soil temperature at - 1.2 m (°C),Soil temperature at - 1.6 m (°C),Soil temperature at - 0.04 m (K),Soil temperature at - 0.2 m (K),Soil temperature at - 0.4 m (K),Soil temperature at - 0.8 m (K),Soil temperature at - 1.2 m (K),Soil temperature at - 1.6 m (K)
2017-01-01,5.703645833333334,240.31597222222223,-11.643319444444444,26.417291666666667,0.0,609.7277777777778,-13.59570138888889,-13.473770833333333,23.52638888888889,3.3030625000000002,140.57291666666666,32.614583333333336,155.57777777777778,257.40277777777777,6.132986111111112,-4.264993055555555,-1.3984930555555557,-3.0138680555555553,8.001888888888889,8.3525,8.5025,8.952083333333333,5.4089374999999995,3.765458333333333,5.415479166666667,-12.807777777777778,-12.12673611111111,-11.40375,-10.977777777777778,-9.90215277777778,-8.312083333333334,-5.657743055555556,-4.284076388888889,261.0232638888889,262.1722222222222,263.2478472222222,264.8379166666666,267.4922569444444,268.8659236111111
2017-01-02,4.522027777777778,215.25208333333333,-12.547638888888889,25.60326388888889,0.0,611.4597222222222,-14.148368055555556,-14.069958333333334,23.598458333333333,3.026145833333333,136.90965277777775,29.233194444444443,166.2576388888889,255.6326388888889,18.312083333333334,-4.866319444444445,-2.277652777777778,-4.6061805555555555,8.008944444444445,8.363680555555554,8.515347222222223,8.959236111111112,5.403770833333334,3.7474930555555557,5.377923611111111,-13.721104166666667,-12.143333333333334,-11.357708333333333,-10.903541666666666,-9.815208333333334,-8.296666666666667,-5.790652777777778,-4.451597222222222,261.00666666666666,262.2464583333333,263.33479166666666,264.8533333333333,267.3593472222222,268.69840277777774
2017-01-03,5.572090277777778,211.0125,-12.374722222222223,43.42826388888889,0.0,609.3152777777777,-14.0898125,-14.027125,18.449590277777776,2.3591944444444444,108.14234027777778,24.18923611111111,178.4048611111111,255.88541666666666,6.472000000000001,-5.762770833333333,-2.953652777777778,-5.589347222222222,8.001986111111112,8.35625,8.51326388888889,8.958819444444444,5.386263888888888,3.732201388888889,5.312048611111111,-13.513736111111111,-12.29513888888889,-11.47236111111111,-10.965416666666666,-9.805,-8.309930555555555,-5.898486111111111,-4.594006944444445,260.85486111111106,262.1845833333333,263.34499999999997,264.8400694444444,267.2515138888889,268.5559930555555
2017-01-04,6.037,242.35763888888889,-10.819881944444445,30.436111111111114,0.0,608.1715277777778,-13.654187499999999,-13.519576388888888,24.310958333333332,4.106097222222222,147.93359027777777,37.27321527777778,154.49652777777777,259.18541666666664,5.9779652777777805,-4.267340277777778,-1.5293055555555557,-3.234138888888889,8.016034722222223,8.365416666666667,8.515694444444444,8.953472222222222,5.380111111111111,3.7184791666666666,5.282631944444444,-12.564930555555556,-12.117291666666667,-11.363750000000001,-10.923194444444444,-9.844305555555556,-8.356180555555556,-5.995305555555555,-4.7169791666666665,261.0327083333333,262.22680555555553,263.30569444444444,264.7938194444444,267.15469444444443,268.43302083333333
2017-01-05,5.978368055555555,196.27083333333334,-10.152083333333334,22.18,0.0,607.3527777777778,-13.34842361111111,-13.196604166666667,24.258902777777777,2.9736458333333333,147.18645833333332,31.338402777777773,159.26875,262.4006944444444,12.71375,-3.5781458333333336,-1.1221041666666667,-2.5660138888888886,8.037118055555556,8.386875,8.527569444444445,8.957500000000001,5.3748402777777775,3.706326388888889,5.251993055555555,-12.38511111111111,-11.802986111111112,-11.108819444444444,-10.740208333333333,-9.785763888888889,-8.384166666666665,-6.089104166666667,-4.832729166666667,261.34701388888885,262.40979166666665,263.3642361111111,264.7658333333333,267.0608958333333,268.3172708333333
2017-01-06,3.327208333333333,209.65847222222223,-11.139854166666666,28.911527777777778,0.0,606.0631944444444,-13.823347222222221,-13.637701388888889,25.18060416666667,3.0677916666666665,151.63479166666667,30.795638888888888,162.11944444444444,260.7013888888889,22.253625000000003,-4.6385347222222215,-1.5352708333333334,-3.688090277777778,8.016875,8.374652777777778,8.514375,8.956666666666667,5.3724375,3.6939166666666665,5.229284722222222,-13.758736111111112,-12.069375,-11.269513888888888,-10.817569444444445,-9.770972222222222,-8.392222222222223,-6.17075,-4.936388888888889,261.080625,262.33243055555556,263.37902777777776,264.75777777777773,266.97925,268.2136111111111
2017-01-07,5.066354166666667,185.7515277777778,-13.525694444444445,46.27090277777778,0.0,605.3895833333333,-13.784875,-13.756437499999999,21.286666666666665,2.5502777777777776,126.78840277777778,25.256694444444445,170.12013888888887,258.11041666666665,13.541090277777776,-4.8089375,-2.223076388888889,-4.548020833333333,8.021875000000001,8.373402777777777,8.517083333333334,8.951597222222222,5.360645833333333,3.683652777777778,5.2046875,-13.86976388888889,-11.9675,-11.181388888888888,-10.774999999999999,-9.771180555555555,-8.425833333333333,-6.245277777777778,-5.033034722222222,261.1825,262.375,263.37881944444445,264.72416666666663,266.9047222222222,268.11696527777775
2017-01-08,4.6846805555555555,190.73963194444445,-14.153819444444444,52.14006944444444,0.0,604.1840277777778,-15.203513888888889,-15.106173611111112,24.608680555555555,3.023680555555556,148.5770138888889,31.127652777777776,155.86458333333334,249.2548611111111,24.066152777777777,-6.431145833333334,-2.9618819444444444,-6.215659722222223,7.979368055555556,8.33625,8.489097222222222,8.937708333333333,5.353402777777777,3.6739444444444445,5.185222222222222,-14.93425,-12.533472222222223,-11.620138888888889,-11.06659722222222,-9.877152777777777,-8.467708333333333,-6.3157499999999995,-5.120951388888889,260.6165277777778,262.08340277777774,263.2728472222222,264.68229166666663,266.83425,268.0290486111111
2017-01-09,3.195972222222222,104.86065972222222,-17.001805555555556,70.1726388888889,0.0,603.0145833333333,-15.553083333333332,-15.573145833333333,23.489694444444446,2.872847222222222,138.10925694444444,26.524993055555555,179.47569444444446,251.68541666666664,39.374159722222224,-7.083756944444445,-3.3336458333333336,-6.918145833333333,7.917166666666666,8.274652777777778,8.438472222222224,8.900694444444445,5.3398125,3.6639444444444442,5.170326388888889,-16.379118055555555,-13.09173611111111,-12.148888888888889,-11.503680555555555,-10.129027777777777,-8.589583333333332,-6.391486111111111,-5.207722222222222,260.05826388888886,261.64631944444443,263.0209722222222,264.56041666666664,266.75851388888884,267.94227777777775
2017-01-10,2.555972222222222,154.5136388888889,-18.454652777777778,81.31458333333333,0.0006944444444444445,604.2986111111111,-18.978055555555557,-18.547291666666666,13.153506944444445,16.779243055555554,81.65446527777777,82.39425694444444,237.0847222222222,245.0423611111111,-8.695840277777778,-5.356736111111111,-3.083458333333333,-5.878513888888889,7.963201388888889,8.305555555555555,8.461666666666666,8.887986111111111,5.316888888888888,3.651340277777778,5.156270833333334,-16.589791666666667,-12.469583333333334,-11.691041666666667,-11.241736111111111,-10.174097222222223,-8.73298611111111,-6.485986111111111,-5.296513888888889,260.68041666666664,261.9082638888889,262.9759027777778,264.41701388888885,266.66401388888886,267.85348611111107
