name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.0025,0.005,0.015,0.00875594,0.0025,0.00375595,0.0137559
alpha_m,0.00182491,0.000684343,0.000456229,0.0031936,0.00194342,0.000684342,0.000574739,0.00331211
n_p,1.5,0.25625,0.9875,2.0125,1.50654,0.256229,0.994081,2.019
wr_p,0.1,0.044,0.012,0.188,0.108242,0.0439958,0.0202501,0.196233
por_p,0.63739,0.17275,0.29189,0.98289,0.639846,0.172737,0.294371,0.985321
por_m,0.481031,0.180387,0.120258,0.841804,0.48164,0.180361,0.120919,0.842361
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,9.35659e-11,2.00498e-11,5.34662e-11,1.33666e-10
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,2.5e-14,3.75e-14,-4.99999e-14,9.99999e-14
pen_s,0.02,0.0075,0.005,0.035,0.0198803,0.0075,0.00488032,0.0348803
z_bg,0.04,0.015,0.01,0.07,0.039958,0.015,0.00995803,0.069958
z_s,0.005,0.001875,0.00125,0.00875,0.00486767,0.001875,0.00111768,0.00861767
b_bc,268.45,2.75,262.95,273.95,268.45,2.75,262.95,273.95
