iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,wr_p,por_p,por_m,perm_p,perm_m,pen_s,z_bg,z_s,b_bc
4,0,0.1,1,0.00693953,0.00257163,1.50117,0.134559,0.646577,0.483206,9.35659e-11,1.75e-13,0.02071,0.0403546,0.00125,268.45
4,0,0.1,0.75,0.00693954,0.00257163,1.50117,0.134559,0.646577,0.483206,9.35659e-11,1.375e-13,0.02071,0.0403546,0.00125,268.45
4,0,1,1,0.00693955,0.00257162,1.50117,0.134559,0.646577,0.483206,9.35659e-11,1.75e-13,0.02071,0.0403546,0.00125,268.45
4,0,1,0.75,0.00693955,0.00257162,1.50117,0.134559,0.646577,0.483206,9.35659e-11,1.375e-13,0.02071,0.0403546,0.00125,268.45
4,0,10,1,0.00693956,0.00257162,1.50117,0.134559,0.646577,0.483206,9.35659e-11,1.75e-13,0.02071,0.0403546,0.00125,268.45
4,0,10,0.75,0.00693956,0.00257162,1.50117,0.134559,0.646577,0.483206,9.35659e-11,1.375e-13,0.02071,0.0403546,0.00125,268.45
4,0,100,1,0.00687463,0.00257492,1.50115,0.134712,0.646619,0.483211,9.35645e-11,7.19409e-14,0.0207056,0.0403543,0.00125,268.45
4,0,100,0.75,0.00689086,0.00257409,1.50115,0.134674,0.646608,0.48321,9.35648e-11,6.02057e-14,0.0207067,0.0403543,0.00125,268.45
4,0,1000,1,0.00693304,0.00257194,1.50117,0.134574,0.646581,0.483207,9.35659e-11,2.54719e-14,0.0207096,0.0403546,0.00125,268.45
4,0,1000,0.75,0.00693467,0.00257186,1.50117,0.13457,0.64658,0.483206,9.35659e-11,2.53539e-14,0.0207097,0.0403546,0.00125,268.45
5,0,0.1,1,0.00687457,0.00257492,1.50115,0.134712,0.646619,0.483211,9.35659e-11,7.19369e-14,0.0207056,0.0403543,0.00125,268.45
5,0,0.1,0.75,0.00687458,0.00257492,1.50115,0.134712,0.646619,0.483211,9.35655e-11,7.19379e-14,0.0207056,0.0403543,0.00125,268.45
5,0,1,1,0.0068746,0.00257492,1.50115,0.134712,0.646619,0.483211,9.35659e-11,7.19365e-14,0.0207056,0.0403543,0.00125,268.45
5,0,1,0.75,0.00687461,0.00257492,1.50115,0.134712,0.646619,0.483211,9.35655e-11,7.19376e-14,0.0207056,0.0403543,0.00125,268.45
5,0,10,1,0.00687462,0.00257492,1.50115,0.134712,0.646619,0.483211,9.35659e-11,7.1936e-14,0.0207056,0.0403543,0.00125,268.45
5,0,10,0.75,0.00687463,0.00257492,1.50115,0.134712,0.646619,0.483211,9.35655e-11,7.19372e-14,0.0207056,0.0403543,0.00125,268.45
5,0,100,1,0.00687463,0.00257492,1.50115,0.134712,0.646619,0.483211,9.35659e-11,7.19359e-14,0.0207056,0.0403543,0.00125,268.45
5,0,100,0.75,0.00687463,0.00257492,1.50115,0.134712,0.646619,0.483211,9.35655e-11,7.19372e-14,0.0207056,0.0403543,0.00125,268.45
5,0,1000,1,0.00687463,0.00257492,1.50115,0.134712,0.646619,0.483211,9.35659e-11,7.19359e-14,0.0207056,0.0403543,0.00125,268.45
5,0,1000,0.75,0.00687463,0.00257492,1.50115,0.134712,0.646619,0.483211,9.35655e-11,7.19372e-14,0.0207056,0.0403543,0.00125,268.45
