TIMESTAMP	Soil moisture at - 0.04 m (%)	Soil moisture at - 0.1 m (%)	Soil moisture at - 0.2 m (%)	Soil moisture at - 0.4 m (%)	Soil moisture at - 0.8 m (%)	Soil moisture at - 1.2 m (%)	Soil moisture at - 1.6 m (%)	Soil temperature at - 0.00 m (°C)	Soil temperature at - 0.04 m (°C)	Soil temperature at - 0.1 m (°C)	Soil temperature at - 0.2 m (°C)	Soil temperature at - 0.4 m (°C)	Soil temperature at - 0.8 m (°C)	Soil temperature at - 1.2 m (°C)	Soil temperature at - 1.6 m (°C)
2016-01-01	7.897694444444444	7.523868055555555	8.694236111111111	9.01611111111111	5.368791666666667	4.093548611111111	6.058041666666666	-13.103958333333333	-12.507847222222223	-11.848819444444445	-11.29548611111111	-9.824722222222222	-7.814958333333333	-4.874888888888889	-3.4479652777777776
2016-01-02	7.99182638888889	7.594249999999999	8.745416666666667	9.012638888888889	5.350888888888889	4.060958333333334	6.008416666666666	-12.255416666666667	-11.861597222222223	-11.342569444444443	-10.947708333333333	-9.78138888888889	-7.9368541666666665	-5.063888888888889	-3.6395486111111115
2016-01-03	7.992500000000001	7.6068750000000005	8.766805555555557	9.033472222222223	5.342833333333334	4.033590277777778	5.9621875	-12.7375	-11.82451388888889	-11.200694444444444	-10.765277777777778	-9.618402777777778	-7.946111111111112	-5.228027777777778	-3.8175000000000003
2016-01-04	7.960069444444445	7.581465277777777	8.749236111111111	9.025833333333333	5.336756944444445	4.012583333333334	5.923819444444444	-13.006597222222222	-11.997847222222223	-11.365486111111112	-10.867777777777778	-9.648888888888889	-7.977951388888889	-5.358770833333334	-3.9779583333333335
2016-01-05	7.913791666666667	7.539	8.703055555555556	8.995694444444446	5.324597222222222	3.993715277777778	5.892173611111111	-13.525277777777779	-12.371597222222222	-11.691180555555555	-11.171180555555557	-9.829652777777778	-8.078194444444444	-5.476888888888889	-4.1194375
2016-01-06	7.867916666666667	7.4925555555555565	8.651180555555555	8.954097222222224	5.299729166666666	3.9742847222222224	5.860423611111112	-14.102638888888889	-12.826944444444443	-12.070972222222222	-11.505555555555555	-10.059722222222224	-8.233125	-5.601680555555556	-4.253888888888889
2016-01-07	7.869888888888888	7.490423611111112	8.643958333333334	8.924444444444443	5.274576388888889	3.9517152777777778	5.830069444444444	-14.074791666666666	-12.771805555555556	-12.055277777777778	-11.528472222222222	-10.198055555555555	-8.403611111111111	-5.740944444444445	-4.389958333333333
2016-01-08	7.799826388888889	7.428208333333334	8.583055555555555	8.882430555555555	5.252611111111111	3.93075	5.799722222222222	-14.964236111111111	-13.391458333333333	-12.558124999999999	-11.943263888888888	-10.429930555555556	-8.563055555555556	-5.885840277777778	-4.530833333333334
2016-01-09	7.754833333333333	7.384451388888889	8.533333333333333	8.83013888888889	5.221395833333333	3.908604166666666	5.768881944444445	-15.268333333333333	-13.708541666666667	-12.823611111111111	-12.248888888888889	-10.700416666666666	-8.773402777777779	-6.036159722222222	-4.671090277777777
2016-01-10	7.715840277777777	7.342881944444445	8.488125	8.77986111111111	5.1897569444444445	3.8845347222222224	5.737993055555555	-15.436944444444444	-13.977430555555555	-12.960763888888888	-12.536319444444445	-10.966527777777777	-8.997222222222222	-6.1989375	-4.817618055555555
2016-01-11	7.742173611111111	7.3578125000000005	8.493749999999999	8.751111111111111	5.161569444444444	3.860256944444444	5.707513888888888	-15.136527777777777	-13.750277777777777	-13.053402777777778	-12.489027777777778	-11.103472222222223	-9.200069444444445	-6.370965277777778	-4.969097222222222
2016-01-12	7.673354166666666	7.302277777777778	8.436805555555557	8.716527777777777	5.138145833333334	3.8372083333333333	5.676611111111111	-16.172777777777778	-14.33715277777778	-13.507361111111111	-12.822916666666666	-11.290694444444444	-9.36173611111111	-6.538868055555556	-5.1250833333333325
2016-01-13	7.597826388888889	7.2259166666666665	8.351875	8.647291666666668	5.10425	3.8143888888888893	5.6461250000000005	-16.374444444444446	-14.823541666666667	-14.013472222222223	-13.31659722222222	-11.66625	-9.604791666666666	-6.704791666666667	-5.278875
2016-01-14	7.553770833333333	7.174506944444444	8.288541666666667	8.58236111111111	5.063993055555556	3.7889999999999997	5.616201388888888	-16.62159722222222	-15.148333333333333	-14.357569444444444	-13.670069444444444	-12.0125	-9.89048611111111	-6.8904861111111115	-5.4366666666666665
2016-01-15	7.610868055555555	7.2082500000000005	8.30111111111111	8.54923611111111	5.028923611111111	3.762118055555556	5.584965277777778	-15.18375	-14.564097222222223	-14.002638888888889	-13.514444444444443	-12.167152777777778	-10.145277777777778	-7.092409722222222	-5.606590277777778
2016-01-16	7.650388888888888	7.246576388888889	8.342638888888889	8.56	5.0144375	3.736479166666667	5.553263888888889	-15.858194444444443	-14.314652777777777	-13.746666666666666	-13.21888888888889	-12.042152777777778	-10.247569444444444	-7.2873680555555564	-5.7828125
2016-01-17	7.673131944444445	7.265645833333333	8.357152777777777	8.564722222222223	5.011576388888889	3.717694444444444	5.523187500000001	-15.179236111111111	-14.130555555555555	-13.583888888888888	-13.118749999999999	-11.99590277777778	-10.284027777777776	-7.442375	-5.945930555555556
2016-01-18	7.673638888888888	7.267666666666667	8.359652777777777	8.568888888888889	5.006020833333333	3.701118055555556	5.497111111111112	-15.100416666666668	-14.135763888888889	-13.541180555555556	-13.071111111111112	-11.95138888888889	-10.309861111111111	-7.567201388888888	-6.090701388888889
2016-01-19	7.688993055555555	7.285694444444445	8.37576388888889	8.575	4.9985625	3.688618055555555	5.4745625	-15.003680555555556	-13.976875	-13.386736111111112	-12.928333333333335	-11.88513888888889	-10.330069444444444	-7.669763888888888	-6.217958333333333
