TIMESTAMP	Soil moisture at - 0.04 m (%)	Soil moisture at - 0.1 m (%)	Soil moisture at - 0.2 m (%)	Soil moisture at - 0.4 m (%)	Soil moisture at - 0.8 m (%)	Soil moisture at - 1.2 m (%)	Soil moisture at - 1.6 m (%)	Soil temperature at - 0.00 m (°C)	Soil temperature at - 0.04 m (°C)	Soil temperature at - 0.1 m (°C)	Soil temperature at - 0.2 m (°C)	Soil temperature at - 0.4 m (°C)	Soil temperature at - 0.8 m (°C)	Soil temperature at - 1.2 m (°C)	Soil temperature at - 1.6 m (°C)
2019-01-01	6.423472222222222	7.538777777777778	8.086527777777778	8.609305555555556	5.178131944444444	3.3719444444444444	4.4535625	-16.513194444444444	-16.174305555555556	-14.436319444444443	-13.870416666666666	-12.438125	-10.238263888888888	-7.024076388888889	-5.4113750000000005
2019-01-02	6.463458333333333	7.577208333333333	8.120833333333334	8.615138888888888	5.161291666666667	3.3485347222222224	4.425409722222223	-15.900486111111112	-15.641041666666666	-13.95861111111111	-13.513819444444444	-12.308611111111112	-10.330208333333333	-7.259861111111111	-5.616631944444444
2019-01-03	6.458368055555556	7.578368055555556	8.129027777777777	8.620347222222222	5.153854166666666	3.329340277777778	4.39938888888889	-16.38513888888889	-15.791527777777778	-14.019930555555554	-13.464583333333334	-12.21888888888889	-10.348611111111111	-7.443604166666666	-5.803430555555555
2019-01-04	6.441076388888889	7.5620416666666666	8.118333333333332	8.615	5.151159722222222	3.3138125	4.3768125	-16.919027777777778	-16.036180555555557	-14.217222222222222	-13.575208333333332	-12.252083333333333	-10.388333333333334	-7.572201388888889	-5.9653125
2019-01-05	6.434840277777777	7.551555555555556	8.103680555555556	8.5975	5.139131944444444	3.3011180555555555	4.357840277777778	-17.339305555555555	-16.176041666666666	-14.359722222222224	-13.71625	-12.376875	-10.48451388888889	-7.692111111111111	-6.111090277777778
2019-01-06	6.4299375	7.537729166666667	8.080694444444445	8.574791666666666	5.121958333333334	3.2887222222222223	4.339736111111112	-16.47375	-16.17652777777778	-14.466805555555554	-13.879305555555556	-12.550069444444444	-10.611180555555556	-7.813555555555556	-6.247548611111111
2019-01-07	6.416430555555555	7.528958333333334	8.07576388888889	8.563055555555556	5.1077361111111115	3.2737291666666666	4.322368055555556	-17.48979166666667	-16.409861111111113	-14.592291666666666	-13.927222222222222	-12.597777777777777	-10.721944444444444	-7.943902777777778	-6.382340277777778
2019-01-08	6.424597222222222	7.531020833333334	8.068263888888888	8.544375	5.094159722222222	3.260263888888889	4.306270833333333	-16.85263888888889	-16.19027777777778	-14.481736111111111	-13.924791666666668	-12.692708333333334	-10.835	-8.074166666666667	-6.515618055555556
2019-01-09	6.386076388888889	7.495416666666666	8.039513888888889	8.52715277777778	5.079340277777778	3.2476944444444444	4.290506944444444	-17.941180555555558	-16.701527777777777	-14.877638888888889	-14.178888888888888	-12.799375000000001	-10.928125000000001	-8.19875	-6.644555555555556
2019-01-10	6.3520763888888885	7.459513888888889	8.0019375	8.496041666666667	5.064145833333333	3.2349375	4.275194444444445	-18.993819444444444	-17.126805555555556	-15.215416666666666	-14.460763888888888	-13.006944444444445	-11.073472222222222	-8.319652777777778	-6.771715277777777
2019-01-11	6.297763888888889	7.395541666666667	7.935083333333334	8.445347222222223	5.038305555555556	3.221875	4.260020833333333	-18.804861111111112	-17.570555555555554	-15.714374999999999	-14.96201388888889	-13.363125	-11.275138888888888	-8.451875	-6.8980138888888884
2019-01-12	6.269722222222223	7.361229166666667	7.893888888888889	8.399513888888889	5.0107083333333335	3.20625	4.244527777777778	-18.940833333333334	-17.85048611111111	-15.96673611111111	-15.23548611111111	-13.637291666666666	-11.51	-8.603541666666667	-7.032791666666666
2019-01-13	6.325756944444445	7.402687500000001	7.914506944444445	8.381805555555555	4.985652777777777	3.190638888888889	4.227576388888888	-17.218763888888887	-17.124513888888888	-15.414930555555555	-14.940624999999999	-13.688819444444444	-11.702222222222222	-8.769097222222221	-7.177659722222223
2019-01-14	6.300375	7.393361111111111	7.923909722222222	8.3925	4.981784722222222	3.175236111111111	4.210152777777778	-18.5075	-17.435069444444444	-15.576527777777777	-14.873472222222224	-13.549583333333334	-11.73451388888889	-8.918819444444445	-7.324291666666667
2019-01-15	6.2869722222222215	7.374673611111111	7.901743055555555	8.372083333333332	4.970236111111111	3.163798611111111	4.194791666666666	-18.816180555555558	-17.39548611111111	-15.640208333333334	-15.001041666666667	-13.687083333333334	-11.8125	-9.029166666666667	-7.457104166666667
2019-01-16	6.2338402777777775	7.319215277777778	7.844944444444445	8.338888888888889	4.9538472222222225	3.1518402777777776	4.181312500000001	-19.589861111111112	-18.21777777777778	-16.34347222222222	-15.554652777777777	-13.965347222222222	-11.944861111111111	-9.1425	-7.577277777777777
2019-01-17	6.308833333333333	7.373354166666666	7.872111111111112	8.317569444444445	4.933076388888889	3.1412291666666667	4.167395833333334	-16.148930555555555	-16.991875	-15.49451388888889	-15.152569444444444	-14.047222222222222	-12.136111111111111	-9.273333333333333	-7.699486111111112
2019-01-18	6.3682083333333335	7.44125	7.940590277777777	8.354930555555555	4.932763888888889	3.1279861111111114	4.152486111111111	-16.35465277777778	-16.328958333333333	-14.781041666666665	-14.478263888888888	-13.647569444444445	-12.104027777777778	-9.404305555555556	-7.827291666666667
