iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,b_bc
2,0,1,0.75,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
2,0,10,1,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
2,0,10,0.75,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
2,0,100,1,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
2,0,100,0.75,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
2,0,1000,1,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
2,0,1000,0.75,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
3,0,0.1,1,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
3,0,0.1,0.75,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
3,0,1,1,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
3,0,1,0.75,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
3,0,10,1,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
3,0,10,0.75,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
3,0,100,1,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
3,0,100,0.75,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
3,0,1000,1,0.0025,0.00181344,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
3,0,1000,0.75,0.0025,0.00181353,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
