name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.00375,0.0025,0.0175,0.0025,0.00374705,-0.0049941,0.0099941
ALPHA_M,0.00182491,0.000684343,0.000456229,0.0031936,0.00195995,0.000684323,0.000591304,0.0033286
N_P,2.05,0.5125,1.025,3.075,1.80192,0.511626,0.778666,2.82517
N_M,2.05,0.5125,1.025,3.075,2.03688,0.512359,1.01216,3.0616
WR_P,0.224324,0.0841216,0.056081,0.392567,0.176387,0.0840866,0.00821354,0.34456
WR_M,0.159488,0.059808,0.039872,0.279104,0.17539,0.0597986,0.0557926,0.294987
TCS_P,0.439577,0.164841,0.109894,0.769259,0.652413,0.164812,0.322789,0.982036
TCS_M,0.952105,0.357039,0.238026,1.66618,0.918722,0.357027,0.204668,1.63278
TCD_P,0.101023,0.0378838,0.0252559,0.176791,0.176791,0.0378837,0.101024,0.252558
TCD_M,0.984405,0.369152,0.246101,1.72271,0.958453,0.369144,0.220165,1.69674
AF_P,1.50511,0.564418,0.376279,2.63395,1.4948,0.564342,0.366115,2.62348
AF_M,1.49939,0.562271,0.374847,2.62393,1.49912,0.562269,0.374582,2.62366
AUF_P,0.486935,0.182601,0.121734,0.852137,0.398101,0.182593,0.032915,0.763287
AUF_M,0.698884,0.262082,0.174721,1.22305,0.699178,0.262081,0.175016,1.22334
POR_P,0.637395,0.239023,0.159349,1.11544,0.784262,0.238888,0.306486,1.26204
POR_M,0.481031,0.180387,0.120258,0.841804,0.494512,0.180336,0.133841,0.855183
PERM_P,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,1.33666e-11,2.00492e-11,-2.67319e-11,5.34651e-11
PERM_M,1e-13,3.75e-14,2.5e-14,1.75e-13,2.5e-14,3.74988e-14,-4.99977e-14,9.99977e-14
DEN_P,900,337.5,225,1575,900,337.5,225,1575
DEN_M,1900,475,950,2850,1900,474.997,950.006,2849.99
