name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.00375,0.0025,0.0175,0.0025,0.00374713,-0.00499427,0.00999427
ALPHA_M,0.00182491,0.000684343,0.000456229,0.0031936,0.00213243,0.000684324,0.000763778,0.00350108
N_P,2.05,0.5125,1.025,3.075,1.84841,0.511723,0.824962,2.87185
N_M,2.05,0.5125,1.025,3.075,2.03934,0.512342,1.01466,3.06402
WR_P,0.224324,0.0841216,0.056081,0.392567,0.189608,0.0840891,0.0214298,0.357786
WR_M,0.159488,0.059808,0.039872,0.279104,0.177884,0.0597986,0.0582871,0.297481
TCS_P,0.439577,0.164841,0.109894,0.769259,0.622562,0.164813,0.292937,0.952188
TCS_M,0.952105,0.357039,0.238026,1.66618,0.925984,0.357027,0.21193,1.64004
TCD_P,0.101023,0.0378838,0.0252559,0.176791,0.176791,0.0378837,0.101024,0.252558
TCD_M,0.984405,0.369152,0.246101,1.72271,0.965221,0.369143,0.226934,1.70351
AF_P,1.50511,0.564418,0.376279,2.63395,1.49341,0.564357,0.364693,2.62212
AF_M,1.49939,0.562271,0.374847,2.62393,1.49924,0.562269,0.374701,2.62378
AUF_P,0.486935,0.182601,0.121734,0.852137,0.411953,0.182593,0.0467658,0.77714
AUF_M,0.698884,0.262082,0.174721,1.22305,0.699498,0.262081,0.175336,1.22366
POR_P,0.637395,0.239023,0.159349,1.11544,0.765542,0.238897,0.287748,1.24333
POR_M,0.481031,0.180387,0.120258,0.841804,0.490334,0.180339,0.129657,0.851011
PERM_P,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,1.33666e-11,2.00497e-11,-2.67329e-11,5.34661e-11
PERM_M,1e-13,3.75e-14,2.5e-14,1.75e-13,2.5e-14,3.74991e-14,-4.99982e-14,9.99982e-14
DEN_P,900,337.5,225,1575,900,337.5,225,1575
DEN_M,1900,475,950,2850,1900,474.997,950.006,2849.99
