name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.00375,0.0025,0.0175,0.0025,0.00374704,-0.00499408,0.00999408
ALPHA_M,0.00182491,0.000684343,0.000456229,0.0031936,0.0021349,0.000684327,0.000766251,0.00350356
N_P,2.05,0.5125,1.025,3.075,1.81616,0.511649,0.792859,2.83945
N_M,2.05,0.5125,1.025,3.075,2.0374,0.512348,1.0127,3.0621
WR_P,0.224324,0.0841216,0.056081,0.392567,0.178929,0.0840871,0.0107547,0.347103
WR_M,0.159488,0.059808,0.039872,0.279104,0.175719,0.0597986,0.0561215,0.295316
TCS_P,0.439577,0.164841,0.109894,0.769259,0.64297,0.164812,0.313346,0.972593
TCS_M,0.952105,0.357039,0.238026,1.66618,0.921415,0.357026,0.207362,1.63547
TCD_P,0.101023,0.0378838,0.0252559,0.176791,0.176791,0.0378837,0.101024,0.252558
TCD_M,0.984405,0.369152,0.246101,1.72271,0.960721,0.369143,0.222435,1.69901
AF_P,1.50511,0.564418,0.376279,2.63395,1.49388,0.564349,0.365179,2.62258
AF_M,1.49939,0.562271,0.374847,2.62393,1.49898,0.562269,0.374445,2.62352
AUF_P,0.486935,0.182601,0.121734,0.852137,0.402354,0.182593,0.0371679,0.76754
AUF_M,0.698884,0.262082,0.174721,1.22305,0.699178,0.262082,0.175015,1.22334
POR_P,0.637395,0.239023,0.159349,1.11544,0.779264,0.238891,0.301482,1.25705
POR_M,0.481031,0.180387,0.120258,0.841804,0.493987,0.180338,0.133311,0.854662
PERM_P,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,1.33666e-11,2.00497e-11,-2.67328e-11,5.3466e-11
PERM_M,1e-13,3.75e-14,2.5e-14,1.75e-13,2.5e-14,3.7499e-14,-4.9998e-14,9.9998e-14
DEN_P,900,337.5,225,1575,900,337.5,225,1575
DEN_M,1900,475,950,2850,1900,474.997,950.006,2849.99
