0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.156332366379e-01 1.649803291740e-01 1.649803291740e-01 1.649803291740e-01 1.649803291740e-01 1.649803141244e-01 1.649802636977e-01
8.640000000000e+04 2.605814918923e+02 2.624641596902e+02 2.651477340632e+02 2.680724926455e+02 2.697916139236e+02 2.700966835187e+02 2.701462753211e+02 1.088223636649e-01 1.430754820248e-01 1.476569303384e-01 1.553350033841e-01 1.628397046694e-01 1.646434820930e-01 1.649565064570e-01
1.728000000000e+05 2.603868177722e+02 2.616560171956e+02 2.636631168706e+02 2.664340467528e+02 2.689997870505e+02 2.698500880923e+02 2.701071724644e+02 1.087685604662e-01 1.419561378072e-01 1.449333468957e-01 1.505450476976e-01 1.589313394885e-01 1.631701934152e-01 1.647091516426e-01
2.592000000000e+05 2.610597934834e+02 2.618933274541e+02 2.633188468854e+02 2.655793813871e+02 2.682660524211e+02 2.695075739172e+02 2.700259491681e+02 1.089596890497e-01 1.422750052740e-01 1.443728679965e-01 1.485615355338e-01 1.560187035991e-01 1.613243221270e-01 1.642070067988e-01
3.456000000000e+05 2.611840535964e+02 2.619032278902e+02 2.631101249679e+02 2.650675599457e+02 2.676706630487e+02 2.691352899551e+02 2.699051385302e+02 1.089966228699e-01 1.422884793854e-01 1.440441507411e-01 1.474951985200e-01 1.540080903426e-01 1.595349405003e-01 1.634876439446e-01
4.320000000000e+05 2.599628904531e+02 2.608917807718e+02 2.623140874185e+02 2.644155695511e+02 2.671190322567e+02 2.687541315061e+02 2.697514254305e+02 1.086553003184e-01 1.409795512123e-01 1.428602562956e-01 1.462459526475e-01 1.523609319676e-01 1.578932452843e-01 1.626162900234e-01
5.184000000000e+05 2.597553200886e+02 2.605571248771e+02 2.618562830208e+02 2.638817662053e+02 2.666140810342e+02 2.683756475204e+02 2.695722524980e+02 1.086016982981e-01 1.405741996426e-01 1.422247123966e-01 1.453018361208e-01 1.510006072990e-01 1.564198423039e-01 1.616569017613e-01
6.048000000000e+05 2.587761633039e+02 2.596957947882e+02 2.611241568961e+02 2.632671623457e+02 2.661140829167e+02 2.679971728987e+02 2.693731855413e+02 1.083637938316e-01 1.395866720052e-01 1.412687498415e-01 1.442907126943e-01 1.497695999734e-01 1.550769576674e-01 1.606546694411e-01
6.912000000000e+05 2.574239059558e+02 2.584886700117e+02 2.601160579475e+02 2.624951262398e+02 2.655713794016e+02 2.676049534280e+02 2.691562995979e+02 1.080704643699e-01 1.383214572591e-01 1.400589080077e-01 1.431203341397e-01 1.485442214419e-01 1.538017410083e-01 1.596306281878e-01
7.776000000000e+05 2.571118359045e+02 2.580416774252e+02 2.595422925386e+02 2.618717236682e+02 2.650398490440e+02 2.672039856591e+02 2.689233618600e+02 1.080077999471e-01 1.378838244654e-01 1.394185020584e-01 1.422456516063e-01 1.474397346043e-01 1.526026488632e-01 1.586007211834e-01
8.640000000000e+05 2.537472458620e+02 2.552961894584e+02 2.575437496710e+02 2.606176592070e+02 2.643447265352e+02 2.667537344742e+02 2.686698072088e+02 1.074264066803e-01 1.354942525949e-01 1.374139909643e-01 1.406465763074e-01 1.461168208402e-01 1.513639832631e-01 1.575524252824e-01
9.504000000000e+05 2.528918884533e+02 2.542373782595e+02 2.563587575549e+02 2.595210723363e+02 2.635848560350e+02 2.662521216542e+02 2.683907345199e+02 1.073010774546e-01 1.346869645773e-01 1.363637888669e-01 1.393954301375e-01 1.448038657881e-01 1.500987424869e-01 1.564758817721e-01
1.036800000000e+06 2.548177914683e+02 2.555131185056e+02 2.568413071354e+02 2.592706533811e+02 2.630223143141e+02 2.657682019026e+02 2.680927124420e+02 1.075948282356e-01 1.356666913280e-01 1.367805160512e-01 1.391263158533e-01 1.439082435157e-01 1.489761684464e-01 1.554047653621e-01
1.123200000000e+06 2.557672829276e+02 2.563246830880e+02 2.573671968468e+02 2.593380625297e+02 2.626703069161e+02 2.653510489262e+02 2.677901376564e+02 1.077563508527e-01 1.363349004931e-01 1.372516414930e-01 1.391981911054e-01 1.433769801958e-01 1.480754613370e-01 1.543901878103e-01
1.209600000000e+06 2.555167242889e+02 2.562015242485e+02 2.573382719043e+02 2.592689747091e+02 2.624011855755e+02 2.649962046540e+02 2.674945933058e+02 1.077125302586e-01 1.362310622173e-01 1.372252484446e-01 1.391245312184e-01 1.429847386163e-01 1.473525669144e-01 1.534617989132e-01
1.296000000000e+06 2.550860663536e+02 2.558419348766e+02 2.570662906701e+02 2.590547162149e+02 2.621372864165e+02 2.646792807900e+02 2.672107883947e+02 1.076392405238e-01 1.359329355017e-01 1.369798362747e-01 1.388988141839e-01 1.426111420547e-01 1.467373847760e-01 1.526221512331e-01
1.382400000000e+06 2.545350209025e+02 2.553502135673e+02 2.566567191894e+02 2.587323983157e+02 2.618480405901e+02 2.643778758955e+02 2.669379860968e+02 1.075490056271e-01 1.355369629275e-01 1.366194013670e-01 1.385667736477e-01 1.422135485151e-01 1.461768244468e-01 1.518581163122e-01
1.468800000000e+06 2.561215872453e+02 2.565040858833e+02 2.572948747936e+02 2.588790889275e+02 2.616776986867e+02 2.641178202977e+02 2.666791919479e+02 1.078198688832e-01 1.364877838829e-01 1.371857570257e-01 1.387167916983e-01 1.419849483408e-01 1.457109956623e-01 1.511687164199e-01
