name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.05,0.0225,0.005,0.095,0.05,0.0224998,0.00500031,0.0949997
ALPHA_M,0.005,0.00225,0.0005,0.0095,0.005,0.00224973,0.000500544,0.00949946
N_P,1.6,0.4875,0.625,2.575,1.6,0.487318,0.625363,2.57464
N_M,1.5,0.4875,0.525,2.475,1.5,0.485333,0.529334,2.47067
WR_P,0.1,0.0875,-0.075,0.275,0.1,0.0874918,-0.0749836,0.274984
WR_M,0.12,0.0875,-0.055,0.295,0.12,0.0873745,-0.054749,0.294749
TCS_P,0.4,0.325,-0.25,1.05,0.4,0.324728,-0.249456,1.04946
TCS_M,1,0.45,0.1,1.9,1,0.449766,0.100467,1.89953
TCD_P,0.07,0.245,-0.42,0.56,0.07,0.244719,-0.419438,0.559438
TCD_M,1,0.25,0.5,1.5,1,0.249985,0.50003,1.49997
AF_P,1.5,0.25,1,2,1.5,0.249998,1,2
AF_M,1.5,0.25,1,2,1.5,0.249999,1,2
AUF_P,0.5,0.175,0.15,0.85,0.5,0.174983,0.150035,0.849965
AUF_M,0.7,0.175,0.35,1.05,0.7,0.175,0.35,1.05
POR_P,0.5,0.1625,0.175,0.825,0.5,0.162472,0.175056,0.824944
POR_M,0.5,0.125,0.25,0.75,0.5,0.124936,0.250127,0.749873
PERM_P,1e-10,2.475e-10,-3.95e-10,5.95e-10,1e-10,2.47475e-10,-3.9495e-10,5.9495e-10
PERM_M,1e-12,2.475e-12,-3.95e-12,5.95e-12,1e-12,2.47378e-12,-3.94757e-12,5.94757e-12
DEN_P,900,325,250,1550,900,324.998,250.003,1550
DEN_M,2300,175,1950,2650,2300,175,1950,2650
