iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,albedo_bg,e_bg,pen_w,pen_s,z_bg,z_s
1,0,1000,0.75,0.00881224,0.00236214,1.49966,2.05,0.104284,0.160647,0.439936,0.952037,0.101072,0.98444,1.50506,1.49938,0.486876,0.698882,0.638444,0.48125,3.7229e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00709637
2,0,0.1,1,0.00686284,0.0031936,1.49911,2.05005,0.11093,0.162494,0.440343,0.951975,0.101064,0.98445,1.50502,1.49938,0.486881,0.698882,0.639879,0.48172,1.87302e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00875
2,0,0.1,0.75,0.00714634,0.0031936,1.4992,2.05004,0.110326,0.162314,0.440307,0.951983,0.101059,0.984454,1.50502,1.49938,0.486886,0.698882,0.639756,0.481671,2.15446e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00843614
2,0,1,1,0.00743367,0.0031936,1.49936,2.05001,0.109281,0.161974,0.440236,0.951996,0.101052,0.984466,1.50503,1.49938,0.486896,0.698882,0.639546,0.481575,1.33666e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00779964
2,0,1,0.75,0.00757446,0.0031936,1.49939,2.05001,0.109089,0.161924,0.440227,0.951998,0.10105,0.984466,1.50503,1.49938,0.486897,0.698882,0.639507,0.481562,1.75219e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00772337
2,0,10,1,0.00792837,0.0031936,1.49947,2.05001,0.108594,0.161794,0.440202,0.952005,0.101047,0.984467,1.50503,1.49938,0.486901,0.698882,0.639405,0.481529,1.33666e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00752264
2,0,10,0.75,0.00794548,0.0031936,1.49947,2.05001,0.108574,0.161789,0.440201,0.952005,0.101046,0.984468,1.50503,1.49938,0.486901,0.698882,0.6394,0.481528,1.75219e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00751562
2,0,100,1,0.00798985,0.0031936,1.49948,2.05001,0.108522,0.161775,0.440199,0.952006,0.101046,0.984468,1.50503,1.49938,0.486901,0.698882,0.639389,0.481525,1.33666e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00749733
2,0,100,0.75,0.0079916,0.0031936,1.49948,2.05001,0.10852,0.161775,0.440199,0.952006,0.101046,0.984468,1.50503,1.49938,0.486901,0.698882,0.639389,0.481525,1.75219e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00749664
2,0,1000,1,0.00799614,0.0031936,1.49948,2.05001,0.108515,0.161773,0.440198,0.952006,0.101046,0.984468,1.50503,1.49938,0.486902,0.698882,0.639388,0.481524,1.33666e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00749485
2,0,1000,0.75,0.00799631,0.0031936,1.49948,2.05001,0.108515,0.161773,0.440198,0.952006,0.101046,0.984468,1.50503,1.49938,0.486902,0.698882,0.639388,0.481524,1.75219e-11,1.75e-13,900,1900,0.55,0.75,0.01,0.02,0.04,0.00749478
3,0,0.1,1,0.0065699,0.0031936,1.49894,2.05006,0.111749,0.162741,0.440429,0.951961,0.101077,0.98444,1.50501,1.49938,0.486852,0.698884,0.640077,0.481789,2.79893e-11,2.5e-14,900,1900,0.55,0.75,0.0100132,0.0200066,0.0400033,0.00875
3,0,0.1,0.75,0.00664313,0.0031936,1.49898,2.05006,0.111544,0.162679,0.440408,0.951964,0.101073,0.984442,1.50501,1.49938,0.48686,0.698884,0.640028,0.481772,2.56745e-11,6.25e-14,900,1900,0.55,0.75,0.0100099,0.020005,0.0400025,0.00875
3,0,1,1,0.00675851,0.0031936,1.49908,2.05005,0.11108,0.162533,0.440352,0.951973,0.101065,0.984449,1.50502,1.49938,0.486878,0.698883,0.639912,0.481731,2.49999e-11,2.5e-14,900,1900,0.55,0.75,0.0100015,0.0200008,0.0400004,0.00875
3,0,1,0.75,0.00678459,0.0031936,1.49909,2.05005,0.111042,0.162523,0.44035,0.951973,0.101065,0.984449,1.50502,1.49938,0.486879,0.698883,0.639904,0.481728,2.34325e-11,6.25e-14,900,1900,0.55,0.75,0.0100011,0.0200006,0.0400003,0.00875
3,0,10,1,0.00684933,0.0031936,1.49911,2.05005,0.110947,0.162498,0.440344,0.951975,0.101064,0.98445,1.50502,1.49938,0.486881,0.698883,0.639883,0.481721,2.37153e-11,2.5e-14,900,1900,0.55,0.75,0.0100002,0.0200001,0.04,0.00875
3,0,10,0.75,0.00685271,0.0031936,1.49911,2.05005,0.110943,0.162497,0.440343,0.951975,0.101064,0.98445,1.50502,1.49938,0.486881,0.698883,0.639882,0.481721,2.2469e-11,6.25e-14,900,1900,0.55,0.75,0.0100001,0.0200001,0.04,0.00875
3,0,100,1,0.00684395,0.0031936,1.4991,2.05005,0.110954,0.162499,0.440344,0.951975,0.101064,0.984449,1.50502,1.49938,0.486881,0.698882,0.639884,0.481722,9.35659e-11,1.75e-13,900,1900,0.55,0.75,0.0100001,0.02,0.04,0.00875
3,0,100,0.75,0.00684867,0.0031936,1.49911,2.05005,0.110948,0.162498,0.440344,0.951975,0.101064,0.984449,1.50502,1.49938,0.486881,0.698882,0.639883,0.481721,7.4857e-11,1.75e-13,900,1900,0.55,0.75,0.0100001,0.02,0.04,0.00875
3,0,1000,1,0.00685046,0.0031936,1.49911,2.05005,0.110948,0.162498,0.440344,0.951975,0.101064,0.984449,1.50502,1.49938,0.486881,0.698883,0.639883,0.481721,1.873e-11,1.75e-13,900,1900,0.55,0.75,0.0100001,0.02,0.04,0.00875
3,0,1000,0.75,0.00685356,0.0031936,1.49911,2.05005,0.110944,0.162497,0.440343,0.951975,0.101064,0.98445,1.50502,1.49938,0.486881,0.698883,0.639882,0.481721,1.87301e-11,1.75e-13,900,1900,0.55,0.75,0.0100001,0.02,0.04,0.00875
