iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,lh_w,lh_i,hc_l,hc_r
2,0,10,1,0.00601701,0.00226378,2.04961,2.04941,0.22717,0.16422,0.44019,0.952418,0.101667,0.984866,1.50519,1.49941,0.486835,0.698975,0.641843,0.479748,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
2,0,10,0.75,0.00648338,0.0021562,2.04962,2.04945,0.227127,0.164091,0.440182,0.952416,0.101672,0.98486,1.50519,1.49941,0.486842,0.698975,0.641746,0.479803,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
2,0,100,1,0.00768469,0.00223906,2.04967,2.04955,0.227015,0.163758,0.440164,0.95241,0.101687,0.984847,1.50518,1.49941,0.486858,0.698975,0.641495,0.479943,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
2,0,100,0.75,0.00773414,0.00213766,2.04967,2.04955,0.22701,0.163744,0.440163,0.95241,0.101687,0.984847,1.50518,1.49941,0.486858,0.698975,0.641485,0.479949,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
2,0,1000,1,0.00786152,0.00183347,2.04967,2.04956,0.226998,0.163712,0.440161,0.95241,0.101689,0.984845,1.50518,1.49941,0.48686,0.698975,0.64146,0.479963,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
2,0,1000,0.75,0.00786676,0.00183347,2.04967,2.04956,0.226998,0.163709,0.440161,0.95241,0.101689,0.984845,1.50518,1.49941,0.48686,0.698975,0.641459,0.479964,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
3,0,0.1,1,0.005,0.00225672,2.04953,2.04888,0.227308,0.16545,0.439993,0.952545,0.101769,0.984974,1.50524,1.49941,0.486941,0.698982,0.642893,0.47905,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
3,0,0.1,0.75,0.00525425,0.00225849,2.04955,2.04902,0.227274,0.165142,0.440042,0.952513,0.101743,0.984947,1.50523,1.49941,0.486915,0.69898,0.642631,0.479224,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
3,0,1,1,0.005,0.00227428,2.04957,2.04929,0.227281,0.164681,0.44018,0.952442,0.101721,0.984894,1.5052,1.49941,0.486841,0.698977,0.642134,0.479611,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
3,0,1,0.75,0.00525425,0.00227165,2.04958,2.04932,0.227253,0.164566,0.440183,0.952436,0.101707,0.984887,1.5052,1.49941,0.48684,0.698977,0.642061,0.479646,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
3,0,10,1,0.005,0.00237134,2.04957,2.04934,0.227272,0.164524,0.440197,0.952431,0.101713,0.984885,1.50519,1.49941,0.486832,0.698976,0.64204,0.479663,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
3,0,10,0.75,0.00525425,0.00234445,2.04958,2.04935,0.227246,0.164448,0.440196,0.952428,0.101701,0.98488,1.50519,1.49941,0.486833,0.698976,0.641991,0.479684,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
3,0,100,1,0.00580221,0.00246178,2.0496,2.0494,0.227191,0.164282,0.440192,0.95242,0.101676,0.98487,1.50519,1.49941,0.486834,0.698976,0.641882,0.479731,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
3,0,100,0.75,0.00585591,0.00241228,2.0496,2.0494,0.227186,0.164267,0.440191,0.95242,0.101674,0.984869,1.50519,1.49941,0.486835,0.698975,0.641872,0.479735,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
3,0,1000,1,0.00599481,0.00226378,2.04961,2.04941,0.227172,0.164228,0.44019,0.952418,0.101668,0.984866,1.50519,1.49941,0.486835,0.698975,0.641847,0.479746,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
3,0,1000,0.75,0.00600036,0.00226378,2.04961,2.04941,0.227172,0.164226,0.44019,0.952418,0.101668,0.984866,1.50519,1.49941,0.486835,0.698975,0.641846,0.479747,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
4,0,0.1,1,0.005,0.00225633,2.04314,2.0357,0.237434,0.1897,0.440057,0.954278,0.104371,0.98786,1.50598,1.49989,0.486016,0.699065,0.672239,0.461935,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
4,0,0.1,0.75,0.005,0.00225643,2.04474,2.03899,0.234902,0.183637,0.440041,0.953845,0.103721,0.987139,1.5058,1.49977,0.486247,0.699044,0.664902,0.466213,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
4,0,1,1,0.005,0.00246532,2.04883,2.04739,0.228843,0.170209,0.440106,0.952737,0.102139,0.985313,1.50531,1.49946,0.4868,0.69899,0.646598,0.477338,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
4,0,1,0.75,0.005,0.00241317,2.049,2.04776,0.228459,0.169019,0.440078,0.952689,0.102046,0.985228,1.50529,1.49945,0.486835,0.698988,0.645672,0.477766,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
4,0,10,1,0.005,0.00250495,2.04945,2.04873,0.227469,0.165978,0.440006,0.952564,0.101808,0.985009,1.50525,1.49942,0.486926,0.698983,0.643276,0.478882,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
4,0,10,0.75,0.005,0.00244289,2.04947,2.04877,0.227429,0.165846,0.440003,0.95256,0.101798,0.985001,1.50525,1.49941,0.48693,0.698983,0.64318,0.478924,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
4,0,100,1,0.005,0.00225672,2.04952,2.04887,0.227325,0.16552,0.439996,0.952547,0.101774,0.984979,1.50524,1.49941,0.486939,0.698982,0.64293,0.479025,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
4,0,100,0.75,0.005,0.00225672,2.04952,2.04888,0.227321,0.165503,0.439996,0.952547,0.101773,0.984978,1.50524,1.49941,0.486939,0.698982,0.642921,0.479031,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
4,0,1000,1,0.005,0.00225672,2.04952,2.04888,0.22731,0.165457,0.439993,0.952545,0.101769,0.984975,1.50524,1.49941,0.486941,0.698982,0.642897,0.479047,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
4,0,1000,0.75,0.005,0.00225672,2.04952,2.04888,0.227309,0.165455,0.439993,0.952545,0.101769,0.984975,1.50524,1.49941,0.486941,0.698982,0.642896,0.479048,8.01993e-11,5e-14,900,1900,334000,-6007.87,76,620
5,0,0.1,1,0.005,0.00223248,2.04158,2.03256,0.239767,0.193839,0.440492,0.955025,0.107518,0.988811,1.50623,1.5001,0.485992,0.698966,0.678784,0.457915,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
5,0,0.1,0.75,0.005,0.00223844,2.04197,2.03335,0.239183,0.192804,0.440384,0.954839,0.106732,0.988573,1.50617,1.50005,0.485998,0.69899,0.677148,0.45892,4.00997e-11,5e-14,900,1900,334000,-6007.87,76,620
5,0,1,1,0.005,0.00226706,2.04298,2.03536,0.237798,0.190519,0.440139,0.954362,0.10477,0.987967,1.50601,1.49991,0.486009,0.699055,0.673043,0.461541,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
5,0,1,0.75,0.005,0.00226438,2.04302,2.03545,0.237707,0.190314,0.440118,0.954341,0.10467,0.98794,1.506,1.49991,0.486011,0.699057,0.672842,0.461639,4.00997e-11,5e-14,900,1900,334000,-6007.87,76,620
5,0,10,1,0.005,0.00227357,2.04313,2.03566,0.237472,0.189791,0.440066,0.954287,0.104413,0.987871,1.50598,1.49989,0.486015,0.699064,0.672322,0.461896,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
5,0,10,0.75,0.005,0.00226926,2.04313,2.03567,0.237463,0.189768,0.440064,0.954285,0.104402,0.987868,1.50598,1.49989,0.486016,0.699064,0.672301,0.461906,4.00997e-11,5e-14,900,1900,334000,-6007.87,76,620
5,0,100,1,0.005,0.00227196,2.04314,2.03569,0.237438,0.189709,0.440058,0.954279,0.104376,0.987861,1.50598,1.49989,0.486016,0.699065,0.672247,0.461931,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
5,0,100,0.75,0.005,0.00226805,2.04314,2.0357,0.237437,0.189707,0.440058,0.954279,0.104375,0.987861,1.50598,1.49989,0.486016,0.699065,0.672245,0.461932,4.00997e-11,5e-14,900,1900,334000,-6007.87,76,620
5,0,1000,1,0.005,0.00226313,2.04314,2.0357,0.237434,0.189701,0.440057,0.954279,0.104372,0.98786,1.50598,1.49989,0.486016,0.699065,0.67224,0.461934,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
5,0,1000,0.75,0.005,0.00226143,2.04314,2.0357,0.237434,0.1897,0.440057,0.954279,0.104372,0.98786,1.50598,1.49989,0.486016,0.699065,0.67224,0.461934,4.00997e-11,5e-14,900,1900,334000,-6007.87,76,620
6,0,0.1,1,0.005,0.00227368,2.03576,2.02026,0.244908,0.204786,0.444029,0.957646,0.108759,0.992619,1.50754,1.50095,0.487364,0.699029,0.701874,0.445801,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
6,0,0.1,0.75,0.005,0.00226338,2.03721,2.02334,0.243623,0.202049,0.443145,0.956991,0.108449,0.991667,1.50721,1.50074,0.487021,0.699013,0.696102,0.44883,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
6,0,1,1,0.005,0.00234361,2.04095,2.03121,0.240665,0.19614,0.440943,0.955307,0.107721,0.989234,1.50636,1.50019,0.486106,0.698973,0.681652,0.456602,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
6,0,1,0.75,0.005,0.00231583,2.04111,2.03155,0.24044,0.195565,0.440831,0.955236,0.10767,0.989128,1.50633,1.50017,0.486078,0.698971,0.680935,0.45693,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
6,0,10,1,0.005,0.00237312,2.04151,2.03242,0.239863,0.1941,0.440543,0.955055,0.107547,0.988856,1.50625,1.50011,0.486006,0.698969,0.679083,0.45779,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
6,0,10,0.75,0.005,0.00233796,2.04153,2.03246,0.239839,0.194034,0.44053,0.955047,0.10754,0.988844,1.50624,1.50011,0.486002,0.698968,0.679008,0.457821,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
6,0,100,1,0.005,0.00223248,2.04157,2.03255,0.239777,0.193872,0.440499,0.955029,0.107522,0.988816,1.50623,1.50011,0.485993,0.698966,0.678813,0.457899,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
6,0,100,0.75,0.005,0.00223248,2.04157,2.03256,0.239774,0.193864,0.440497,0.955028,0.107521,0.988815,1.50623,1.50011,0.485993,0.698966,0.678806,0.457903,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
6,0,1000,1,0.005,0.00223248,2.04157,2.03256,0.239768,0.193843,0.440493,0.955026,0.107519,0.988811,1.50623,1.5001,0.485992,0.698966,0.678787,0.457913,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
6,0,1000,0.75,0.005,0.00223248,2.04157,2.03256,0.239767,0.193842,0.440493,0.955026,0.107519,0.988811,1.50623,1.5001,0.485992,0.698966,0.678786,0.457914,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
7,0,0.1,1,0.005,0.00224057,2.03027,2.00845,0.249535,0.211382,0.445744,0.960011,0.108282,0.996137,1.50872,1.50156,0.487177,0.699029,0.718657,0.431473,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
7,0,0.1,0.75,0.005,0.00224885,2.03164,2.01141,0.248378,0.209733,0.445315,0.95942,0.108402,0.995257,1.50843,1.50141,0.487224,0.699029,0.714461,0.435055,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
7,0,1,1,0.005,0.00229406,2.03517,2.01898,0.24571,0.20614,0.44426,0.9579,0.108743,0.993004,1.50766,1.50101,0.487321,0.699029,0.703991,0.44415,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
7,0,1,0.75,0.005,0.00228896,2.03532,2.0193,0.24551,0.205802,0.444202,0.957837,0.108747,0.992908,1.50763,1.501,0.487331,0.699029,0.703462,0.444563,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
7,0,10,1,0.005,0.00230445,2.0357,2.02013,0.244994,0.204937,0.444053,0.957672,0.108758,0.992658,1.50755,1.50096,0.487359,0.699029,0.702093,0.445635,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
7,0,10,0.75,0.005,0.00229676,2.03571,2.02017,0.244972,0.204899,0.444047,0.957666,0.108758,0.992648,1.50755,1.50095,0.48736,0.699029,0.702038,0.445676,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
7,0,100,1,0.005,0.00230064,2.03575,2.02025,0.244917,0.204801,0.444031,0.957649,0.108759,0.992623,1.50754,1.50095,0.487363,0.699029,0.701896,0.445785,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
7,0,100,0.75,0.005,0.0022939,2.03575,2.02025,0.244915,0.204797,0.444031,0.957648,0.108759,0.992622,1.50754,1.50095,0.487363,0.699029,0.701891,0.445789,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
8,0,0.1,1,0.005,0.00224189,2.02488,1.99723,0.250383,0.211953,0.447597,0.9622,0.11383,0.998954,1.5096,1.50254,0.488433,0.699029,0.733285,0.420767,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
8,0,0.1,0.75,0.005,0.00224156,2.02623,2.00003,0.250171,0.21181,0.447134,0.961653,0.112443,0.99825,1.50938,1.5023,0.488119,0.699029,0.729628,0.423444,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
8,0,1,1,0.005,0.00224928,2.0297,2.00725,0.24984,0.211607,0.445993,0.960236,0.108924,0.996441,1.50881,1.50166,0.48729,0.699033,0.720399,0.430155,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
8,0,1,0.75,0.005,0.0022471,2.02985,2.00755,0.249764,0.211551,0.445931,0.960179,0.108764,0.996365,1.50879,1.50164,0.487261,0.699032,0.719963,0.430485,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
8,0,10,1,0.005,0.00225185,2.03021,2.00833,0.249568,0.211408,0.44577,0.960033,0.108348,0.996168,1.50873,1.50157,0.487188,0.69903,0.718835,0.431339,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
8,0,10,0.75,0.005,0.00224903,2.03023,2.00836,0.24956,0.211402,0.445763,0.960027,0.108331,0.99616,1.50873,1.50157,0.487185,0.69903,0.718791,0.431372,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
8,0,100,1,0.005,0.00225037,2.03027,2.00844,0.249538,0.211385,0.445747,0.960013,0.108289,0.99614,1.50872,1.50156,0.487178,0.699029,0.718675,0.43146,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
8,0,100,0.75,0.005,0.00224792,2.03027,2.00844,0.249537,0.211384,0.445746,0.960012,0.108287,0.996139,1.50872,1.50156,0.487178,0.699029,0.71867,0.431463,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
8,0,1000,1,0.005,0.00224057,2.03027,2.00845,0.249535,0.211382,0.445744,0.960011,0.108283,0.996137,1.50872,1.50156,0.487177,0.699029,0.718659,0.431472,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
8,0,1000,0.75,0.005,0.00224057,2.03027,2.00845,0.249535,0.211382,0.445744,0.960011,0.108283,0.996137,1.50872,1.50156,0.487177,0.699029,0.718658,0.431472,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
9,0,0.1,1,0.005,0.00209974,2.01938,1.98772,0.250045,0.211653,0.44781,0.963801,0.127441,1.0017,1.51046,1.50277,0.487591,0.699029,0.743606,0.409736,3.03209e-11,5e-14,900,1900,334000,-6007.87,76,620
9,0,0.1,0.75,0.005,0.00213528,2.02076,1.9901,0.250129,0.211728,0.447757,0.963401,0.124038,1.00101,1.51025,1.50271,0.487802,0.699029,0.741026,0.412494,2.9424e-11,5e-14,900,1900,334000,-6007.87,76,620
9,0,1,1,0.005,0.00212003,2.0243,1.99622,0.250526,0.211997,0.447706,0.962368,0.115535,0.999262,1.50969,1.50257,0.488311,0.699029,0.734517,0.419365,3.35734e-11,5e-14,900,1900,334000,-6007.87,76,620
9,0,1,0.75,0.005,0.00215049,2.02445,1.99648,0.25049,0.211986,0.447679,0.962326,0.115109,0.999185,1.50967,1.50256,0.488341,0.699029,0.734209,0.419716,3.18633e-11,5e-14,900,1900,334000,-6007.87,76,620
9,0,10,1,0.005,0.0021265,2.02482,1.99713,0.2504,0.211958,0.447609,0.962217,0.114005,0.998985,1.50961,1.50254,0.48842,0.699029,0.733411,0.420624,3.40026e-11,5e-14,900,1900,334000,-6007.87,76,620
9,0,10,0.75,0.005,0.00215535,2.02483,1.99715,0.250396,0.211957,0.447606,0.962213,0.113961,0.998977,1.50961,1.50254,0.488424,0.699029,0.733379,0.42066,3.21852e-11,5e-14,900,1900,334000,-6007.87,76,620
9,0,100,1,0.005,0.00214587,2.02487,1.99722,0.250385,0.211953,0.447598,0.962202,0.113847,0.998957,1.5096,1.50254,0.488432,0.699029,0.733297,0.420754,3.38855e-11,5e-14,900,1900,334000,-6007.87,76,620
9,0,100,0.75,0.005,0.00216988,2.02487,1.99722,0.250384,0.211953,0.447598,0.962202,0.113843,0.998956,1.5096,1.50254,0.488432,0.699029,0.733294,0.420757,3.20974e-11,5e-14,900,1900,334000,-6007.87,76,620
9,0,1000,1,0.005,0.00224189,2.02488,1.99723,0.250383,0.211953,0.447597,0.962201,0.113831,0.998954,1.5096,1.50254,0.488433,0.699029,0.733286,0.420766,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
9,0,1000,0.75,0.005,0.00224189,2.02488,1.99723,0.250383,0.211953,0.447597,0.962201,0.113831,0.998954,1.5096,1.50254,0.488433,0.699029,0.733286,0.420767,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
10,0,0.1,1,0.005,0.00213583,2.02072,1.99002,0.250113,0.211737,0.447758,0.963415,0.124115,1.00103,1.51026,1.50272,0.487811,0.699032,0.741097,0.412442,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
