name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.0025,0.005,0.015,0.005,0.00249997,6.14486e-08,0.00999994
ALPHA_M,0.00182491,0.000456229,0.000912457,0.00273737,0.00227368,0.000456206,0.00136127,0.00318609
N_P,2.05,0.5125,1.025,3.075,2.03576,0.512441,1.01087,3.06064
N_M,2.05,0.5125,1.025,3.075,2.02026,0.511848,0.996567,3.04396
WR_P,0.224324,0.056081,0.112162,0.336486,0.244908,0.0560782,0.132752,0.357065
WR_M,0.159488,0.039872,0.079744,0.239232,0.204786,0.0398675,0.12505,0.284521
TCS_P,0.439577,0.109894,0.219788,0.659365,0.444029,0.10989,0.224248,0.66381
TCS_M,0.952105,0.238026,0.476053,1.42816,0.957646,0.238019,0.481608,1.43368
TCD_P,0.101023,0.0252559,0.0505117,0.151535,0.108759,0.0252558,0.0582471,0.15927
TCD_M,0.984405,0.246101,0.492203,1.47661,0.992619,0.246091,0.500437,1.4848
AF_P,1.50511,0.376279,0.752557,2.25767,1.50754,0.376277,0.754985,2.26009
AF_M,1.49939,0.374847,0.749695,2.24908,1.50095,0.374844,0.751261,2.25064
AUF_P,0.486935,0.121734,0.243468,0.730403,0.487364,0.121733,0.243898,0.730829
AUF_M,0.698884,0.174721,0.349442,1.04833,0.699029,0.174721,0.349587,1.04847
POR_P,0.637395,0.159349,0.318697,0.956092,0.701874,0.159319,0.383236,1.02051
POR_M,0.481031,0.120258,0.240515,0.721546,0.445801,0.120229,0.205344,0.686258
PERM_P,5.34662e-11,1.33666e-11,2.67331e-11,8.01993e-11,2.67331e-11,1.33665e-11,1.92773e-16,5.3466e-11
PERM_M,1e-13,2.5e-14,5e-14,1.5e-13,5e-14,2.49998e-14,4.17783e-19,9.99996e-14
DEN_P,900,225,450,1350,900,225,450.001,1350
DEN_M,1900,475,950,2850,1900,474.994,950.012,2849.99
LH_W,334000,83500,167000,501000,334000,83500,167000,501000
LH_I,-6007.87,1501.97,-9011.81,-3003.93,-6007.87,1501.89,-9011.64,-3004.1
HC_L,76,19,38,114,76,18.9999,38.0002,114
HC_R,620,155,310,930,620,154.998,310.004,929.996
