obsnme,obsval,weight,obgnme
stemp_0.04_0,261.0232638888889,0.00019569471624266145,temp
stemp_0.04_1,261.00666666666666,0.00019569471624266145,temp
stemp_0.04_2,260.85486111111106,0.00019569471624266145,temp
stemp_0.04_3,261.0327083333333,0.00019569471624266145,temp
stemp_0.04_4,261.34701388888885,0.00019569471624266145,temp
stemp_0.04_5,261.080625,0.00019569471624266145,temp
stemp_0.04_6,261.1825,0.00019569471624266145,temp
stemp_0.04_7,260.6165277777778,0.00019569471624266145,temp
stemp_0.04_8,260.05826388888886,0.00019569471624266145,temp
stemp_0.04_9,260.68041666666664,0.00019569471624266145,temp
stemp_0.04_10,259.4002083333333,0.00019569471624266145,temp
stemp_0.04_11,258.0873611111111,0.00019569471624266145,temp
stemp_0.04_12,258.46638888888884,0.00019569471624266145,temp
stemp_0.04_13,258.47388888888884,0.00019569471624266145,temp
stemp_0.04_14,258.4655555555555,0.00019569471624266145,temp
stemp_0.04_15,257.2475,0.00019569471624266145,temp
stemp_0.04_16,256.88069444444443,0.00019569471624266145,temp
stemp_0.04_17,257.2832638888889,0.00019569471624266145,temp
stemp_0.04_18,256.7728472222222,0.00019569471624266145,temp
stemp_0.04_19,257.15430555555554,0.00019569471624266145,temp
stemp_0.04_20,257.7903472222222,0.00019569471624266145,temp
stemp_0.04_21,258.6003472222222,0.00019569471624266145,temp
stemp_0.04_22,259.16305555555556,0.00019569471624266145,temp
stemp_0.04_23,260.00541666666663,0.00019569471624266145,temp
stemp_0.04_24,261.42319444444445,0.00019569471624266145,temp
stemp_0.04_25,262.3888680555555,0.00019569471624266145,temp
stemp_0.04_26,262.8388958333333,0.00019569471624266145,temp
stemp_0.04_27,263.05069444444445,0.00019569471624266145,temp
stemp_0.04_28,261.94090277777775,0.00019569471624266145,temp
stemp_0.04_29,261.0120833333333,0.00019569471624266145,temp
stemp_0.04_30,260.3410416666666,0.00019569471624266145,temp
stemp_0.04_31,260.11833333333334,0.00019569471624266145,temp
stemp_0.04_32,261.20944444444444,0.00019569471624266145,temp
stemp_0.04_33,262.1230625,0.00019569471624266145,temp
stemp_0.04_34,263.82234027777776,0.00019569471624266145,temp
stemp_0.04_35,264.91457638888886,0.00019569471624266145,temp
stemp_0.04_36,265.2461597222222,0.00019569471624266145,temp
stemp_0.04_37,262.06125,0.00019569471624266145,temp
stemp_0.04_38,260.9578472222222,0.00019569471624266145,temp
stemp_0.04_39,260.21527777777777,0.00019569471624266145,temp
stemp_0.04_40,259.58729166666666,0.00019569471624266145,temp
stemp_0.04_41,259.2257638888889,0.00019569471624266145,temp
stemp_0.04_42,259.44013888888884,0.00019569471624266145,temp
stemp_0.04_43,260.1084722222222,0.00019569471624266145,temp
stemp_0.04_44,260.18229166666663,0.00019569471624266145,temp
stemp_0.04_45,261.28201388888886,0.00019569471624266145,temp
