iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
2,0,1000,1,0.01,0.00180963,1.58018,1.48885,0.145394,0.151851,0.414058,0.990254,0.0904397,0.996862,1.50089,1.50053,0.495849,0.699876,0.55542,0.504032,4.77473e-10,1e-13,900,2300
2,0,1000,0.75,0.01,0.00180963,1.58018,1.48885,0.145393,0.15185,0.414057,0.990254,0.0904396,0.996862,1.50089,1.50053,0.495849,0.699876,0.555419,0.504032,4.77473e-10,1e-13,900,2300
3,0,0.1,1,0.01,0.0017688,1.5646,1.48528,0.168785,0.154679,0.419815,0.983822,0.0952271,0.994182,1.50114,1.49996,0.492737,0.699482,0.582022,0.498315,5.18233e-11,1e-13,900,2300
3,0,0.1,0.75,0.01,0.00176682,1.568,1.48616,0.163754,0.15426,0.418615,0.985269,0.0940856,0.994795,1.50107,1.50007,0.493403,0.699581,0.576194,0.499408,5.08043e-11,1e-13,900,2300
3,0,1,1,0.01,0.0018228,1.57664,1.48825,0.151128,0.153659,0.415635,0.989049,0.0912354,0.996403,1.50089,1.50037,0.495083,0.699833,0.561736,0.502119,5.82772e-11,1e-13,900,2300
3,0,1,0.75,0.01,0.00180732,1.57702,1.48839,0.150511,0.153496,0.41548,0.989189,0.0910918,0.996461,1.50089,1.50039,0.495163,0.699844,0.56098,0.502262,5.56447e-11,1e-13,900,2300
3,0,10,1,0.01,0.00183421,1.57803,1.48875,0.148914,0.153084,0.41508,0.989554,0.0907207,0.99661,1.50088,1.50042,0.495369,0.699872,0.559024,0.50263,5.94341e-11,1e-13,900,2300
3,0,10,0.75,0.01,0.00181588,1.57807,1.48877,0.14885,0.153064,0.415064,0.989568,0.0907058,0.996616,1.50088,1.50042,0.495377,0.699873,0.558946,0.502644,5.65124e-11,1e-13,900,2300
3,0,100,1,0.01,0.00185724,1.57818,1.48881,0.148686,0.153013,0.415023,0.989604,0.0906676,0.996631,1.50088,1.50043,0.495398,0.699876,0.558743,0.502682,5.55608e-11,1e-13,900,2300
3,0,100,0.75,0.01,0.00183315,1.57818,1.48881,0.14868,0.153011,0.415021,0.989605,0.090666,0.996631,1.50088,1.50043,0.495399,0.699876,0.558735,0.502684,5.36074e-11,1e-13,900,2300
3,0,1000,1,0.01,0.00176087,1.57819,1.48881,0.148664,0.153007,0.415017,0.989609,0.0906625,0.996633,1.50088,1.50043,0.495401,0.699876,0.558715,0.502687,4.77473e-11,1e-13,900,2300
3,0,1000,0.75,0.01,0.00176087,1.57819,1.48881,0.148663,0.153007,0.415017,0.989609,0.0906621,0.996633,1.50088,1.50043,0.495401,0.699876,0.558714,0.502687,4.77473e-11,1e-13,900,2300
4,0,0.1,1,0.01,0.00178807,1.55221,1.48302,0.186254,0.15456,0.424573,0.97783,0.0963497,0.992395,1.50174,1.49978,0.491573,0.699482,0.600845,0.496206,4.13098e-11,1e-13,900,2300
4,0,0.1,0.75,0.01,0.00178325,1.5553,1.48358,0.181887,0.15459,0.423384,0.979328,0.096069,0.992842,1.50159,1.49982,0.491864,0.699482,0.596139,0.496734,4.39382e-11,1e-13,900,2300
4,0,1,1,0.01,0.00181785,1.56319,1.48489,0.170949,0.154957,0.420404,0.983231,0.0954226,0.994015,1.50119,1.49994,0.492588,0.699482,0.584488,0.498026,4.18029e-11,1e-13,900,2300
4,0,1,0.75,0.01,0.00180559,1.56354,1.48499,0.170408,0.154888,0.420257,0.983379,0.0953737,0.994057,1.50118,1.49994,0.492625,0.699482,0.583872,0.498098,4.4308e-11,1e-13,900,2300
4,0,10,1,0.01,0.0018264,1.56446,1.48524,0.169007,0.154715,0.419876,0.983763,0.0952483,0.994166,1.50114,1.49995,0.492722,0.699482,0.582277,0.498285,4.16426e-11,1e-13,900,2300
4,0,10,0.75,0.01,0.001812,1.56449,1.48525,0.168951,0.154706,0.419861,0.983778,0.095243,0.99417,1.50114,1.49996,0.492726,0.699482,0.582213,0.498293,4.41878e-11,1e-13,900,2300
4,0,100,1,0.01,0.00181532,1.56458,1.48527,0.168807,0.154683,0.419821,0.983816,0.0952294,0.99418,1.50114,1.49996,0.492736,0.699482,0.582048,0.498312,4.10768e-11,1e-13,900,2300
4,0,100,0.75,0.01,0.00180369,1.56459,1.48528,0.168801,0.154682,0.41982,0.983817,0.0952288,0.994181,1.50114,1.49996,0.492736,0.699482,0.582041,0.498313,4.37634e-11,1e-13,900,2300
4,0,1000,1,0.01,0.00179341,1.5646,1.48528,0.168787,0.154679,0.419816,0.983821,0.0952274,0.994182,1.50114,1.49996,0.492737,0.699482,0.582025,0.498315,5.10016e-11,1e-13,900,2300
4,0,1000,0.75,0.01,0.00178726,1.5646,1.48528,0.168786,0.154679,0.419815,0.983821,0.0952273,0.994182,1.50114,1.49996,0.492737,0.699482,0.582024,0.498315,5.12071e-11,1e-13,900,2300
5,0,0.1,1,0.01,0.00181435,1.54307,1.48139,0.196875,0.153544,0.426768,0.972219,0.0985449,0.990422,1.50245,1.49968,0.490568,0.699199,0.612288,0.494544,1e-11,1e-13,900,2300
5,0,0.1,0.75,0.01,0.00180778,1.54535,1.4818,0.194219,0.153798,0.426219,0.973622,0.0979961,0.990916,1.50227,1.4997,0.490819,0.69927,0.609427,0.49496,1.78274e-11,1e-13,900,2300
5,0,1,1,0.01,0.00180207,1.55118,1.48278,0.187584,0.154512,0.424848,0.977269,0.0966068,0.992202,1.50181,1.49977,0.491454,0.699453,0.60233,0.495973,1e-11,1e-13,900,2300
5,0,1,0.75,0.01,0.00179857,1.55144,1.48284,0.187252,0.154524,0.424779,0.977409,0.0965425,0.99225,1.50179,1.49977,0.491483,0.699461,0.601959,0.496031,1.78274e-11,1e-13,900,2300
5,0,10,1,0.01,0.001802,1.5521,1.48299,0.18639,0.154558,0.424601,0.977775,0.0963759,0.992376,1.50175,1.49978,0.49156,0.699479,0.600998,0.496182,1e-11,1e-13,900,2300
