name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
N_M,1.2,0.4875,0.225,2.175,1.14555,0.487343,0.170861,2.12024
TCS_M,1,0.425,0.15,1.85,0.999745,0.424995,0.149754,1.84974
AF_M,0.05,0.02,0.01,0.09,0.0317619,0.02,-0.00823806,0.0717619
AF_P,0.005,0.002,0.001,0.009,0.00443114,0.002,0.000431143,0.00843114
