name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
N_M,1.2,0.4875,0.225,2.175,1.15238,0.487363,0.177653,2.1271
TCS_M,1,0.425,0.15,1.85,0.999831,0.424995,0.149841,1.84982
AF_M,0.05,0.02,0.01,0.09,0.0366133,0.02,-0.00338664,0.0766133
AF_P,0.005,0.002,0.001,0.009,0.00310152,0.002,-0.000898482,0.00710152
