iteration,_is_super,_lambda,_scale_factor,n_m,tcs_m,af_m,af_p
10,0,1,1,1.15957,0.999939,0.0405368,0.00257047
10,0,1,0.75,1.15962,0.99994,0.0405723,0.00242786
10,0,10,1,1.15975,0.999943,0.0406638,0.00208634
10,0,10,0.75,1.15976,0.999943,0.0406675,0.00206475
10,0,100,1,1.15977,0.999943,0.0406772,0.0020091
10,0,100,0.75,1.15977,0.999943,0.0406775,0.00200682
10,0,1000,1,1.15977,0.999943,0.0406785,0.00200091
10,0,1000,0.75,1.15977,0.999943,0.0406786,0.00200069
11,0,0.1,1,1.15631,0.999856,0.0384173,0.002
11,0,0.1,0.75,1.15668,0.999865,0.0386621,0.00231829
11,0,1,1,1.15762,0.999889,0.0392665,0.0028802
11,0,1,0.75,1.15767,0.99989,0.039299,0.00297844
11,0,10,1,1.1578,0.999892,0.0393836,0.00322762
11,0,10,0.75,1.15781,0.999892,0.0393869,0.00323901
11,0,100,1,1.15782,0.999892,0.0393954,0.00326854
11,0,100,0.75,1.15782,0.999892,0.0393957,0.0032697
11,0,1000,1,1.15782,0.999892,0.0393965,0.00327271
11,0,1000,0.75,1.15782,0.999892,0.0393966,0.00327282
12,0,0.1,1,1.15431,0.999837,0.0374381,0.002
12,0,0.1,0.75,1.15481,0.999842,0.0376829,0.002
12,0,1,1,1.1561,0.999854,0.0383161,0.002
12,0,1,0.75,1.15615,0.999855,0.0383414,0.002
12,0,10,1,1.15628,0.999856,0.0384071,0.002
12,0,10,0.75,1.15629,0.999856,0.0384097,0.002
12,0,100,1,1.1563,0.999856,0.0384163,0.002
12,0,100,0.75,1.1563,0.999856,0.0384165,0.002
12,0,1000,1,1.15631,0.999856,0.0384172,0.002
12,0,1000,0.75,1.15631,0.999856,0.0384172,0.002
13,0,0.1,1,1.15238,0.999831,0.0366133,0.00310152
13,0,0.1,0.75,1.15286,0.999833,0.0368195,0.00282614
13,0,1,1,1.15411,0.999837,0.0373519,0.00232801
13,0,1,0.75,1.15416,0.999837,0.0373734,0.00224601
13,0,10,1,1.15429,0.999837,0.0374294,0.00204078
13,0,10,0.75,1.1543,0.999837,0.0374316,0.00203058
13,0,100,1,1.15431,0.999837,0.0374372,0.00200418
13,0,100,0.75,1.15431,0.999837,0.0374374,0.00200313
13,0,1000,1,1.15431,0.999837,0.037438,0.00200042
13,0,1000,0.75,1.15431,0.999837,0.037438,0.00200031
14,0,0.1,1,1.15053,0.999798,0.0347597,0.00367525
14,0,0.1,0.75,1.15099,0.999806,0.0352231,0.00353182
14,0,1,1,1.15219,0.999828,0.036421,0.00324421
14,0,1,0.75,1.15223,0.999829,0.0364691,0.00320854
14,0,10,1,1.15236,0.999831,0.036594,0.00311824
14,0,10,0.75,1.15236,0.999831,0.0365989,0.00311406
14,0,100,1,1.15238,0.999831,0.0366114,0.00310322
14,0,100,0.75,1.15238,0.999831,0.0366119,0.00310279
14,0,1000,1,1.15238,0.999831,0.0366131,0.00310169
14,0,1000,0.75,1.15238,0.999831,0.0366132,0.00310164
15,0,0.1,1,1.1487,0.99976,0.0336946,0.00442058
15,0,0.1,0.75,1.14916,0.999769,0.0339609,0.00423425
15,0,1,1,1.15034,0.999794,0.0346481,0.00383903
15,0,1,0.75,1.15039,0.999795,0.034676,0.00379808
15,0,10,1,1.15051,0.999797,0.0347484,0.00369383
15,0,10,0.75,1.15052,0.999798,0.0347512,0.00368919
15,0,100,1,1.15053,0.999798,0.0347585,0.00367714
15,0,100,0.75,1.15053,0.999798,0.0347588,0.00367667
15,0,1000,1,1.15053,0.999798,0.0347595,0.00367544
15,0,1000,0.75,1.15053,0.999798,0.0347596,0.00367539
16,0,0.1,1,1.14733,0.999777,0.0327156,0.00454308
16,0,0.1,0.75,1.14778,0.999775,0.0330269,0.00446587
16,0,1,1,1.14897,0.99977,0.0338306,0.00429417
16,0,1,0.75,1.14901,0.99977,0.0338632,0.00427919
16,0,10,1,1.14914,0.999769,0.0339478,0.00424081
16,0,10,0.75,1.14914,0.999769,0.033951,0.00423917
16,0,100,1,1.14915,0.999769,0.0339596,0.00423491
16,0,100,0.75,1.14915,0.999769,0.0339599,0.00423474
16,0,1000,1,1.14916,0.999769,0.0339607,0.00423431
16,0,1000,0.75,1.14916,0.999769,0.0339608,0.0042343
17,0,0.1,1,1.14555,0.999745,0.0317619,0.00443114
17,0,0.1,0.75,1.14599,0.999753,0.0320003,0.00445913
17,0,1,1,1.14714,0.999774,0.0326159,0.00452111
17,0,1,0.75,1.14719,0.999775,0.0326409,0.0045266
17,0,10,1,1.14731,0.999777,0.0327056,0.00454061
17,0,10,0.75,1.14731,0.999777,0.0327081,0.00454123
17,0,100,1,1.14732,0.999777,0.0327146,0.00454283
17,0,100,0.75,1.14732,0.999777,0.0327149,0.00454289
17,0,1000,1,1.14733,0.999777,0.0327155,0.00454306
17,0,1000,0.75,1.14733,0.999777,0.0327155,0.00454306
