,22
alpha_p,0.0025
alpha_m,0.0031936
n_p,1.75614
n_m,2.02951
wr_p,0.164683
wr_m,0.166071
tcs_p,0.671615
tcs_m,0.911769
tcd_p,0.176791
tcd_m,0.94851
af_p,1.50054
af_m,1.49929
auf_p,0.389845
auf_m,0.69973
por_p,0.800683
por_m,0.506646
perm_p,1.33666e-11
perm_m,6.43967e-14
den_p,900.0
den_m,1900.0
