name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.05,0.0225,0.005,0.095,0.0400342,0.0224997,-0.00496513,0.0850335
ALPHA_M,0.005,0.00225,0.0005,0.0095,0.00254914,0.0022492,-0.00194926,0.00704754
N_P,1.6,0.4875,0.625,2.575,1.59225,0.487263,0.61772,2.56677
N_M,1.5,0.4875,0.525,2.475,1.49193,0.486147,0.519638,2.46423
WR_P,0.1,0.0875,-0.075,0.275,0.128523,0.0874944,-0.0464655,0.303512
WR_M,0.12,0.0875,-0.055,0.295,0.140024,0.0873839,-0.0347438,0.314792
TCS_P,0.4,0.325,-0.25,1.05,0.407506,0.324633,-0.24176,1.05677
TCS_M,1,0.45,0.1,1.9,0.995647,0.44971,0.0962274,1.89507
TCD_P,0.07,0.245,-0.42,0.56,0.0843223,0.244816,-0.405309,0.573954
TCD_M,1,0.25,0.5,1.5,0.998514,0.249992,0.49853,1.4985
AF_P,1.5,0.25,1,2,1.50056,0.249998,1.00056,2.00055
AF_M,1.5,0.25,1,2,1.50041,0.249999,1.00042,2.00041
AUF_P,0.5,0.175,0.15,0.85,0.497764,0.174994,0.147777,0.847752
AUF_M,0.7,0.175,0.35,1.05,0.7,0.175,0.35,1.05
POR_P,0.5,0.1625,0.175,0.825,0.528591,0.162455,0.203681,0.853502
POR_M,0.5,0.125,0.25,0.75,0.507581,0.124954,0.257673,0.757489
PERM_P,1e-10,2.475e-10,-3.95e-10,5.95e-10,2.60778e-10,2.47495e-10,-2.34212e-10,7.55769e-10
PERM_M,1e-12,2.475e-12,-3.95e-12,5.95e-12,1e-13,2.40832e-12,-4.71664e-12,4.91664e-12
DEN_P,900,325,250,1550,900,325,250,1550
DEN_M,2300,175,1950,2650,2300,175,1950,2650
