name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.0025,0.005,0.015,0.00270752,0.00247075,-0.00223398,0.00764902
ALPHA_M,0.00182491,0.000684343,0.000456229,0.0031936,0.000456229,0.000659723,-0.000863217,0.00177568
N_P,1.5,0.25625,0.9875,2.0125,1.16867,0.164979,0.838713,1.49863
N_M,2.05,0.5125,1.025,3.075,2.00108,0.511416,0.97825,3.02391
WR_P,0.1,0.044,0.012,0.188,0.0600595,0.0439192,-0.0277789,0.147898
WR_M,0.159488,0.059808,0.039872,0.279104,0.230664,0.0595522,0.11156,0.349769
TCS_P,0.439577,0.164841,0.109894,0.769259,0.769259,0.16423,0.4408,1.09772
TCS_M,0.952105,0.357039,0.238026,1.66618,0.362377,0.348675,-0.334973,1.05973
TCD_P,0.101023,0.0378838,0.0252559,0.176791,0.137292,0.0378837,0.0615247,0.21306
TCD_M,0.984405,0.369152,0.246101,1.72271,0.984561,0.368946,0.246669,1.72245
AF_P,1.50511,0.564418,0.376279,2.63395,1.09716,0.563783,-0.0304018,2.22473
AF_M,1.49939,0.562271,0.374847,2.62393,1.53,0.562046,0.405911,2.6541
AUF_P,0.486935,0.182601,0.121734,0.852137,0.121734,0.182373,-0.243011,0.486479
AUF_M,0.698884,0.262082,0.174721,1.22305,0.871983,0.261973,0.348036,1.39593
POR_P,0.63739,0.17275,0.29189,0.98289,0.446096,0.16597,0.114157,0.778035
POR_M,0.481031,0.180387,0.120258,0.841804,0.330752,0.173403,-0.0160538,0.677557
PERM_P,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,9.35659e-11,2.00495e-11,5.34669e-11,1.33665e-10
PERM_M,1e-13,3.75e-14,2.5e-14,1.75e-13,1.75e-13,3.74995e-14,1.00001e-13,2.49999e-13
DEN_P,900,337.5,225,1575,900,337.48,225.041,1574.96
DEN_M,1900,475,950,2850,1900,474.841,950.318,2849.68
ALBEDO_BG,0.55,0.20625,0.1375,0.9625,0.192278,0.202319,-0.212359,0.596916
E_BG,0.75,0.115625,0.51875,0.98125,0.842816,0.114185,0.614446,1.07119
PEN_W,0.01,0.00375,0.0025,0.0175,0.0025,0.00375,-0.005,0.01
PEN_S,0.02,0.0075,0.005,0.035,0.035,0.00749987,0.0200003,0.0499997
Z_BG,0.04,0.015,0.01,0.07,0.0575991,0.0149849,0.0276293,0.0875689
Z_S,0.005,0.001875,0.00125,0.00875,0.00875,0.00187494,0.00500012,0.0124999
