iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,albedo_bg,e_bg,pen_w,pen_s,z_bg,z_s
2,0,0.1,0.75,0.0025,0.00155933,1.50753,2.0699,0.117187,0.166107,0.461287,0.937206,0.129604,0.985117,1.48509,1.49719,0.487827,0.698671,0.587229,0.457969,4.05139e-11,1.73842e-13,900,1900,0.557527,0.766108,0.0110058,0.021659,0.0323285,0.00875
2,0,1,1,0.0025,0.00155011,1.50842,2.07137,0.117552,0.166354,0.461713,0.939495,0.128941,0.985261,1.48885,1.49698,0.488468,0.69808,0.585684,0.456727,4.10862e-11,1.75e-13,900,1900,0.558109,0.765558,0.0108845,0.0218324,0.0323692,0.00875
2,0,1,0.75,0.0025,0.0015549,1.50946,2.07161,0.11725,0.166123,0.461424,0.939677,0.129319,0.985275,1.4892,1.49697,0.488793,0.69805,0.586808,0.457544,4.0727e-11,1.73842e-13,900,1900,0.558369,0.765581,0.010878,0.0217415,0.0323054,0.00875
2,0,10,1,0.0025,0.00156913,1.50707,2.07104,0.118976,0.165283,0.463469,0.939506,0.128891,0.98522,1.48881,1.49691,0.487766,0.697989,0.578229,0.45205,4.9238e-11,1.75e-13,900,1900,0.557265,0.764102,0.0108769,0.0232283,0.0323116,0.00875
2,0,10,0.75,0.0025,0.00156917,1.50845,2.07137,0.118317,0.165321,0.462741,0.939685,0.129281,0.985244,1.48917,1.49693,0.488266,0.697981,0.581217,0.454036,4.68409e-11,1.73842e-13,900,1900,0.557736,0.76449,0.0108722,0.0227884,0.0322622,0.00875
2,0,100,1,0.0025,0.00156873,1.51064,2.07212,0.117659,0.16608,0.46241,0.939958,0.129777,0.98529,1.48976,1.49694,0.488924,0.697964,0.584781,0.4566,7.1279e-11,1.39069e-13,900,1900,0.557853,0.764322,0.0108605,0.0228013,0.030583,0.00875
2,0,100,0.75,0.0025,0.00156886,1.51113,2.07218,0.11733,0.165918,0.461947,0.940024,0.129946,0.985297,1.48988,1.49695,0.489135,0.697962,0.586131,0.457449,6.33716e-11,1.46894e-13,900,1900,0.558177,0.764655,0.01086,0.0224682,0.0309658,0.00875
2,0,1000,1,0.0025,0.00156928,1.51239,2.07233,0.116537,0.165559,0.460797,0.940199,0.130445,0.985318,1.4902,1.49697,0.489676,0.697967,0.589632,0.459642,3.96695e-11,1.70298e-13,900,1900,0.558967,0.765464,0.0108583,0.0218355,0.0317576,0.00875
2,0,1000,0.75,0.0025,0.00156928,1.51243,2.07233,0.116489,0.165527,0.460737,0.940205,0.130447,0.985318,1.49022,1.49697,0.489698,0.697965,0.589769,0.45973,3.96645e-11,1.70316e-13,900,1900,0.559012,0.765511,0.0108583,0.0217438,0.0318467,0.00875
3,0,0.1,1,0.0025,0.00146118,1.46849,2.05642,0.127359,0.17205,0.468076,0.892133,0.140223,0.972633,1.4427,1.50073,0.454204,0.700979,0.551411,0.434802,2.62761e-11,1.75e-13,900,1900,0.551832,0.765401,0.00864862,0.035,0.0349713,0.00875
3,0,0.1,0.75,0.0025,0.00148816,1.47813,2.06008,0.125264,0.170358,0.466925,0.903976,0.13739,0.97578,1.45423,1.49977,0.462594,0.700232,0.558116,0.439114,3.20165e-11,1.75e-13,900,1900,0.55319,0.765076,0.00920569,0.0320571,0.0343064,0.00875
3,0,1,1,0.0025,0.00143646,1.48341,2.06586,0.130212,0.171577,0.470013,0.931688,0.142289,0.983402,1.47889,1.49774,0.475551,0.698242,0.549073,0.433346,2.67183e-11,1.75e-13,900,1900,0.555997,0.765285,0.010425,0.035,0.0346775,0.00875
