name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.0025,0.005,0.015,0.0025,0.00246383,-0.00242767,0.00742767
ALPHA_M,0.00182491,0.000684343,0.000456229,0.0031936,0.000456229,0.000667336,-0.000878444,0.0017909
N_P,1.5,0.25625,0.9875,2.0125,1.18113,0.178537,0.824058,1.53821
N_M,2.05,0.5125,1.025,3.075,1.95474,0.51155,0.931635,2.97783
WR_P,0.1,0.044,0.012,0.188,0.0793579,0.0438663,-0.00837463,0.16709
WR_M,0.159488,0.059808,0.039872,0.279104,0.200608,0.0594557,0.0816968,0.31952
TCS_P,0.439577,0.164841,0.109894,0.769259,0.747737,0.163879,0.419979,1.07549
TCS_M,0.952105,0.357039,0.238026,1.66618,0.4857,0.350841,-0.215981,1.18738
TCD_P,0.101023,0.0378838,0.0252559,0.176791,0.167818,0.0378832,0.0920516,0.243584
TCD_M,0.984405,0.369152,0.246101,1.72271,0.954835,0.369007,0.216821,1.69285
AF_P,1.50511,0.564418,0.376279,2.63395,1.20747,0.563645,0.0801811,2.33476
AF_M,1.49939,0.562271,0.374847,2.62393,1.49879,0.562184,0.374419,2.62315
AUF_P,0.486935,0.182601,0.121734,0.852137,0.182881,0.181506,-0.180131,0.545893
AUF_M,0.698884,0.262082,0.174721,1.22305,0.748787,0.261949,0.22489,1.27268
POR_P,0.63739,0.17275,0.29189,0.98289,0.43047,0.164291,0.101888,0.759052
POR_M,0.481031,0.180387,0.120258,0.841804,0.356584,0.173215,0.0101531,0.703014
PERM_P,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,9.35659e-11,2.00489e-11,5.34681e-11,1.33664e-10
PERM_M,1e-13,3.75e-14,2.5e-14,1.75e-13,1.75e-13,3.74986e-14,1.00003e-13,2.49997e-13
DEN_P,900,337.5,225,1575,900,337.454,225.093,1574.91
DEN_M,1900,475,950,2850,1900,474.777,950.446,2849.55
ALBEDO_BG,0.55,0.20625,0.1375,0.9625,0.346584,0.200853,-0.0551214,0.74829
E_BG,0.75,0.115625,0.51875,0.98125,0.796293,0.113945,0.568403,1.02418
PEN_W,0.01,0.00375,0.0025,0.0175,0.0025,0.00374331,-0.00498661,0.00998661
PEN_S,0.02,0.0075,0.005,0.035,0.035,0.00749976,0.0200005,0.0499995
Z_BG,0.04,0.015,0.01,0.07,0.0377386,0.0149685,0.00780164,0.0676755
Z_S,0.005,0.001875,0.00125,0.00875,0.00875,0.00187491,0.00500018,0.0124998
