name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.01,0.0025,0.005,0.015,0.00284989,0.00242292,-0.00199596,0.00769574
ALPHA_M,0.00182491,0.000684343,0.000456229,0.0031936,0.000456229,0.000653691,-0.000851153,0.00176361
N_P,1.5,0.25625,0.9875,2.0125,1.15837,0.15458,0.849205,1.46753
N_M,2.05,0.5125,1.025,3.075,2.03814,0.511179,1.01578,3.06049
WR_P,0.1,0.044,0.012,0.188,0.024,0.0439387,-0.0638773,0.111877
WR_M,0.159488,0.059808,0.039872,0.279104,0.263885,0.0595955,0.144694,0.383076
TCS_P,0.439577,0.164841,0.109894,0.769259,0.769259,0.164334,0.440592,1.09793
TCS_M,0.952105,0.357039,0.238026,1.66618,0.256042,0.345682,-0.435321,0.947406
TCD_P,0.101023,0.0378838,0.0252559,0.176791,0.133839,0.0378837,0.0580716,0.209606
TCD_M,0.984405,0.369152,0.246101,1.72271,1.10663,0.368818,0.368997,1.84427
AF_P,1.50511,0.564418,0.376279,2.63395,0.949704,0.5638,-0.177896,2.0773
AF_M,1.49939,0.562271,0.374847,2.62393,1.64005,0.561888,0.516273,2.76382
AUF_P,0.486935,0.182601,0.121734,0.852137,0.121734,0.182393,-0.243052,0.48652
AUF_M,0.698884,0.262082,0.174721,1.22305,1.10314,0.261958,0.579228,1.62706
POR_P,0.63739,0.17275,0.29189,0.98289,0.445599,0.165584,0.114432,0.776766
POR_M,0.481031,0.180387,0.120258,0.841804,0.301465,0.171633,-0.0418018,0.644732
PERM_P,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,9.35659e-11,2.0046e-11,5.34739e-11,1.33658e-10
PERM_M,1e-13,3.75e-14,2.5e-14,1.75e-13,1.705e-13,3.74998e-14,9.55004e-14,2.455e-13
DEN_P,900,337.5,225,1575,900,337.496,225.008,1574.99
DEN_M,1900,475,950,2850,1900,474.802,950.397,2849.6
ALBEDO_BG,0.55,0.20625,0.1375,0.9625,0.1375,0.201195,-0.264889,0.539889
E_BG,0.75,0.115625,0.51875,0.98125,0.879094,0.114397,0.6503,1.10789
PEN_W,0.01,0.00375,0.0025,0.0175,0.0025,0.00375,-0.005,0.01
PEN_S,0.02,0.0075,0.005,0.035,0.035,0.00749983,0.0200003,0.0499997
Z_BG,0.04,0.015,0.01,0.07,0.0461811,0.014979,0.016223,0.0761392
Z_S,0.005,0.001875,0.00125,0.00875,0.00875,0.00187496,0.00500009,0.0124999
