iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,albedo_bg,e_bg,pen_w,pen_s,z_bg,z_s
2,0,0.1,0.75,0.00269029,0.00213765,1.50013,2.06063,0.142654,0.161199,0.475387,0.942687,0.115374,0.984135,1.49915,1.49956,0.480301,0.699008,0.535499,0.431069,4.03699e-11,1.7249e-13,900,1900,0.569536,0.799934,0.0101717,0.0161123,0.045591,0.00323652
2,0,1,1,0.0025,0.00224541,1.50075,2.05908,0.13458,0.156302,0.467396,0.944677,0.116595,0.984312,1.50046,1.49976,0.482112,0.699135,0.552612,0.440982,3.52918e-11,1.73075e-13,900,1900,0.566175,0.79119,0.0102038,0.0197929,0.0448182,0.00323678
2,0,1,0.75,0.00269029,0.00222755,1.50075,2.05899,0.134067,0.15596,0.466807,0.944763,0.116533,0.984319,1.50054,1.49977,0.482244,0.699138,0.553749,0.441632,3.47887e-11,1.73556e-13,900,1900,0.565957,0.790635,0.0102054,0.0204914,0.0449246,0.00307012
2,0,10,1,0.0026637,0.00224779,1.50076,2.05877,0.132756,0.155092,0.465309,0.944983,0.116379,0.984338,1.50075,1.4998,0.482577,0.699146,0.556647,0.443286,3.31163e-11,1.75e-13,900,1900,0.565403,0.789226,0.0102097,0.0222265,0.0451952,0.00283807
2,0,10,0.75,0.00281306,0.00222934,1.50076,2.05876,0.132699,0.155053,0.465242,0.944992,0.11637,0.984339,1.50076,1.4998,0.482592,0.699147,0.556775,0.44336,3.31571e-11,1.75e-13,900,1900,0.565378,0.789162,0.0102098,0.0223166,0.0452074,0.00277109
2,0,100,1,0.00305193,0.00218115,1.50076,2.05874,0.13255,0.154951,0.465066,0.945016,0.116347,0.984341,1.50079,1.4998,0.482632,0.699147,0.557107,0.443551,3.02622e-11,1.75e-13,900,1900,0.565313,0.788998,0.0102103,0.0225514,0.0452429,0.00259333
2,0,100,0.75,0.00310423,0.00217936,1.50076,2.05874,0.132545,0.154947,0.46506,0.945017,0.116346,0.984341,1.50079,1.4998,0.482633,0.699147,0.55712,0.443559,3.10165e-11,1.75e-13,900,1900,0.56531,0.788991,0.0102103,0.0225603,0.0452431,0.00258754
2,0,1000,1,0.00322326,0.00217363,1.50076,2.05874,0.132531,0.154937,0.465043,0.945019,0.116344,0.984341,1.50079,1.4998,0.482637,0.699147,0.557153,0.443578,3.32448e-11,1.75e-13,900,1900,0.565303,0.788974,0.0102104,0.0225828,0.045244,0.00256747
2,0,1000,0.75,0.00323273,0.00217372,1.50076,2.05874,0.13253,0.154937,0.465042,0.945019,0.116344,0.984341,1.50079,1.4998,0.482637,0.699147,0.557154,0.443579,3.32534e-11,1.75e-13,900,1900,0.565303,0.788973,0.0102104,0.0225838,0.0452439,0.00256814
3,0,0.1,1,0.0025,0.00211736,1.49966,2.06119,0.146213,0.163417,0.479001,0.941849,0.115175,0.984065,1.49855,1.49948,0.47946,0.698959,0.527869,0.426579,4.27659e-11,1.75e-13,900,1900,0.570933,0.803541,0.0101064,0.013953,0.0457352,0.00343492
3,0,0.1,0.75,0.0025,0.00211941,1.49973,2.06121,0.146167,0.163385,0.47896,0.941864,0.115144,0.984065,1.49857,1.49948,0.479475,0.69896,0.527971,0.426658,4.27578e-11,1.74163e-13,900,1900,0.570937,0.803553,0.0101195,0.0139533,0.0457281,0.00344085
3,0,1,1,0.0025,0.00212027,1.49989,2.06126,0.14605,0.163304,0.47886,0.941903,0.115065,0.984066,1.49859,1.49948,0.479513,0.698962,0.528223,0.426857,4.28836e-11,1.75e-13,900,1900,0.570943,0.80358,0.0101548,0.01395,0.0457052,0.00343305
3,0,1,0.75,0.0025,0.00212159,1.4999,2.06126,0.146045,0.1633,0.478854,0.941905,0.115061,0.984066,1.4986,1.49948,0.479515,0.698962,0.528237,0.426867,4.28461e-11,1.74163e-13,900,1900,0.570944,0.803582,0.0101558,0.013951,0.0457056,0.00343944
3,0,10,1,0.0025,0.00212029,1.49992,2.06126,0.146031,0.163289,0.478838,0.941908,0.115052,0.984066,1.4986,1.49948,0.479521,0.698962,0.528273,0.426893,4.27983e-11,1.75e-13,900,1900,0.570947,0.803588,0.0101581,0.013953,0.0457055,0.00344855
3,0,10,0.75,0.0025,0.0021216,1.49992,2.06126,0.146031,0.163289,0.478838,0.941908,0.115052,0.984066,1.4986,1.49948,0.479521,0.698962,0.528274,0.426894,4.27821e-11,1.74163e-13,900,1900,0.570947,0.803588,0.0101583,0.0139533,0.0457058,0.00345107
3,0,100,1,0.0025,0.00212045,1.49992,2.06126,0.146029,0.163288,0.478836,0.941909,0.115051,0.984066,1.4986,1.49948,0.479522,0.698962,0.528278,0.426897,4.27306e-11,1.75e-13,900,1900,0.570947,0.803589,0.0101587,0.013954,0.0457066,0.00345711
3,0,100,0.75,0.0025,0.00212172,1.49992,2.06126,0.146029,0.163288,0.478836,0.941909,0.115051,0.984066,1.4986,1.49948,0.479522,0.698962,0.528278,0.426897,4.27313e-11,1.74163e-13,900,1900,0.570947,0.803589,0.0101587,0.013954,0.0457066,0.00345749
