TIMESTAMP,Soil moisture at - 0.04 m (%),Soil moisture at - 0.1 m (%),Soil moisture at - 0.2 m (%),Soil moisture at - 0.4 m (%),Soil moisture at - 0.8 m (%),Soil moisture at - 1.2 m (%),Soil moisture at - 1.6 m (%),Soil temperature at - 0.04 m (K),Soil temperature at - 0.1 m (K),Soil temperature at - 0.2 m (K),Soil temperature at - 0.4 m (K),Soil temperature at - 0.8 m (K),Soil temperature at - 1.2 m (K),Soil temperature at - 1.6 m (K)
2018-03-09,8.08245138888889,8.579236111111111,8.774652777777778,9.004652777777778,5.2711041666666665,3.316659722222222,4.4714583333333335,262.7213194444444,263.7056944444444,263.9548611111111,264.3684722222222,264.7679861111111,265.22865277777777,265.63621527777775
2018-03-10,8.070131944444444,8.565763888888888,8.756666666666668,8.985694444444444,5.268798611111111,3.3228125,4.480013888888888,262.58138888888885,263.5490277777778,263.78444444444443,264.19416666666666,264.67256944444443,265.2912986111111,265.7259305555555
2018-03-11,8.058944444444444,8.547430555555556,8.735902777777778,8.971180555555556,5.258597222222222,3.327472222222222,4.485506944444444,262.51937499999997,263.44291666666663,263.64715277777776,264.0758333333333,264.6111805555555,265.3206458333333,265.78602777777775
2018-03-12,8.1014375,8.584097222222221,8.756944444444445,8.972013888888888,5.255041666666667,3.3241666666666667,4.490993055555555,262.9182638888889,263.7722222222222,263.83444444444444,264.1088888888889,264.58666666666664,265.3349097222222,265.8256597222222
2018-03-13,8.179402777777778,8.662847222222222,8.807708333333332,8.991319444444445,5.265798611111111,3.3273819444444444,4.496597222222222,263.5480486111111,264.3551111111111,264.2131944444444,264.3119444444444,264.6606944444444,265.35837499999997,265.8557916666666
2018-03-14,8.390555555555556,8.863750000000001,8.962152777777778,9.07875,5.284854166666666,3.334375,4.497597222222222,265.1660972222222,265.7927013888889,265.18804861111107,264.83107638888885,264.8720833333333,265.4097847222222,265.8919722222222
2018-03-15,8.618472222222222,9.064444444444444,9.138819444444444,9.198541666666666,5.328347222222223,3.3424375000000004,4.502965277777778,266.8031597222222,267.00150694444443,266.2204097222222,265.5320347222222,265.2515833333333,265.51675,265.9485833333333
2018-03-16,8.826805555555556,9.348888888888888,9.389791666666667,9.384930555555556,5.384854166666667,3.357875,4.513798611111111,267.19238888888884,267.8116944444444,267.21184027777775,266.3326111111111,265.72500694444443,265.68773611111106,266.03964583333334
2018-03-17,8.788333333333334,9.325972222222225,9.399583333333332,9.44701388888889,5.447548611111111,3.377375,4.529222222222222,266.62791666666664,267.4490347222222,267.22359027777776,266.72302777777776,266.1636875,265.91169444444444,266.17119444444444
2018-03-18,8.668819444444445,9.208819444444444,9.34326388888889,9.460138888888888,5.4843125,3.3988819444444447,4.5461527777777775,265.8499722222222,266.7426180555555,266.7518958333333,266.66041666666666,266.39135416666664,266.1407708333333,266.3284861111111
2018-03-19,8.556736111111112,9.100902777777778,9.262777777777778,9.434930555555557,5.496270833333333,3.416256944444444,4.564430555555556,265.20392361111107,266.1814722222222,266.2705625,266.42084027777776,266.4157361111111,266.31795138888884,266.4813611111111
2018-03-20,8.440208333333334,8.98236111111111,9.166111111111112,9.386666666666668,5.4865,3.4270347222222224,4.577604166666666,264.43576388888886,265.44775,265.6657083333333,266.0695069444444,266.3235486111111,266.4240625,266.6054375
