,11
alpha_p,0.000268673
alpha_m,0.0018218
n_p,2.82519e-06
n_m,8.60023e-07
wr_p,1.3321e-05
wr_m,1.17588e-05
tcs_p,2.48681e-06
tcs_m,3.8674e-07
tcd_p,2.00014e-06
tcd_m,9.97251e-08
af_p,3.95745e-07
af_m,6.03384e-08
auf_p,9.13457e-07
auf_m,8.61413e-08
por_p,6.46358e-06
por_m,6.11838e-06
perm_p,999.778
perm_m,4858050.0
den_p,1.44065e-08
den_m,6.81635e-09
