iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
2,0,100,0.75,0.0025,0.00234678,2.04972,2.05,0.226802,0.160503,0.441525,0.951861,0.103159,0.984156,1.50506,1.49939,0.485963,0.698882,0.638141,0.481629,9.29517e-11,2.5e-14,900,1900
2,0,1000,1,0.0025,0.00235772,2.04972,2.05,0.226803,0.160503,0.441525,0.951861,0.103159,0.984156,1.50506,1.49939,0.485962,0.698882,0.638142,0.481629,9.11376e-11,2.50083e-14,900,1900
2,0,1000,0.75,0.0025,0.00235385,2.04972,2.05,0.226802,0.160503,0.441525,0.951861,0.103159,0.984156,1.50506,1.49939,0.485963,0.698882,0.638142,0.481629,9.11305e-11,2.50063e-14,900,1900
3,0,0.1,1,0.0025,0.00287557,2.0396,2.04957,0.231123,0.164855,0.452585,0.950188,0.111219,0.98293,1.50391,1.4994,0.481438,0.698833,0.647652,0.483524,9.35659e-11,2.5e-14,900,1900
3,0,0.1,0.75,0.0025,0.0027644,2.04191,2.04968,0.230246,0.163936,0.450186,0.950557,0.109483,0.983201,1.50417,1.4994,0.482421,0.698846,0.645595,0.483136,9.35659e-11,2.5e-14,900,1900
3,0,1,1,0.0025,0.00306248,2.04789,2.04998,0.228151,0.16167,0.444035,0.951505,0.105033,0.983911,1.50483,1.4994,0.484942,0.698878,0.640334,0.482132,9.35659e-11,2.5e-14,900,1900
3,0,1,0.75,0.0025,0.00290458,2.04813,2.04999,0.228017,0.161547,0.443774,0.951545,0.104843,0.983938,1.50486,1.4994,0.485049,0.698879,0.640106,0.482092,9.35659e-11,2.5e-14,900,1900
3,0,10,1,0.0025,0.00289187,2.04876,2.05002,0.227673,0.161236,0.443098,0.951648,0.104355,0.984005,1.50493,1.4994,0.485323,0.698882,0.639515,0.481984,9.35659e-11,2.5e-14,900,1900
3,0,10,0.75,0.0025,0.00277663,2.04878,2.05002,0.227659,0.161221,0.443071,0.951653,0.104335,0.984008,1.50493,1.4994,0.485334,0.698882,0.639492,0.481981,9.35659e-11,2.5e-14,900,1900
3,0,100,1,0.0025,0.00254728,2.04884,2.05002,0.227621,0.161185,0.443,0.951663,0.104283,0.984015,1.50494,1.4994,0.485362,0.698882,0.639432,0.481972,9.35659e-11,2.5e-14,900,1900
3,0,100,0.75,0.0025,0.00251818,2.04885,2.05002,0.227619,0.161184,0.442997,0.951664,0.104281,0.984015,1.50494,1.4994,0.485363,0.698882,0.63943,0.481972,9.35659e-11,2.5e-14,900,1900
3,0,1000,1,0.0025,0.0024446,2.04885,2.05002,0.227615,0.161179,0.44299,0.951665,0.104275,0.984016,1.50494,1.4994,0.485366,0.698882,0.639424,0.481971,9.35659e-11,2.5e-14,900,1900
3,0,1000,0.75,0.0025,0.00244117,2.04885,2.05002,0.227615,0.161179,0.442989,0.951665,0.104275,0.984016,1.50494,1.4994,0.485367,0.698882,0.639424,0.481971,9.35659e-11,2.5e-14,900,1900
