,6
alpha_p,0.00687462
alpha_m,0.00257492
n_p,1.50115
wr_p,0.134712
por_p,0.646619
por_m,0.483211
perm_p,9.35659e-11
perm_m,7.1936e-14
pen_s,0.0207056
z_bg,0.0403543
z_s,0.00125
b_bc,268.45
