TIMESTAMP,Soil moisture at - 0.04 m (%),Soil moisture at - 0.1 m (%),Soil moisture at - 0.2 m (%),Soil moisture at - 0.4 m (%),Soil moisture at - 0.8 m (%),Soil moisture at - 1.2 m (%),Soil moisture at - 1.6 m (%),Soil temperature at - 0.04 m (K),Soil temperature at - 0.1 m (K),Soil temperature at - 0.2 m (K),Soil temperature at - 0.4 m (K),Soil temperature at - 0.8 m (K),Soil temperature at - 1.2 m (K),Soil temperature at - 1.6 m (K)
2016-01-01,14.5574727878,14.5575051844,14.5575536679,7.79249178213,7.7926208561,7.79280836623,7.79302017895,258.367325848,259.833831342,261.545082199,262.858144239,264.988291569,266.860212822,268.139168864
2016-01-02,14.5575343291,14.5575515446,14.5575906747,7.79251768669,7.79262075242,7.79279013426,7.79298837119,260.919580468,261.479633215,262.575858389,263.377267835,264.988656522,266.717970985,267.982117134
2016-01-03,14.5575332904,14.5575636348,14.5576076576,7.79253612229,7.79262810189,7.79278056736,7.79296367692,260.884016625,261.842496863,262.988600767,263.712960319,265.084283121,266.640658897,267.853044512
2016-01-04,14.5575291085,14.557566009,14.5576156781,7.79254735281,7.79263502651,7.79277496007,7.7929442898,260.738655434,261.911050197,263.172249589,263.905680832,265.171877005,266.594452533,267.746981049
2016-01-05,14.5575189895,14.5575613007,14.5576169617,7.79255230636,7.79263978181,7.79277117588,7.79292884104,260.37182255,261.774260965,263.201010415,263.987793331,265.230792913,266.562887078,267.659292254
2016-01-06,14.5575071324,14.5575529769,14.5576137317,7.79255230853,7.79264176039,7.79276775627,7.79291600048,259.912553023,261.523866717,263.128311532,263.987310526,265.255033547,266.534093358,267.58415471
2016-01-07,14.5575057239,14.5575503793,14.5576119015,7.79255141535,7.79264181858,7.79276406989,7.79290477556,259.855731422,261.44338871,263.086632007,263.972322076,265.255800066,266.502762748,267.516721831
2016-01-08,14.5574905817,14.557539239,14.557604955,7.79254656508,7.79263957627,7.79275964345,7.79289442273,259.211573027,261.08486147,262.925143478,263.890749648,265.228429639,266.464737934,267.45302498
2016-01-09,14.5574833758,14.5575314505,14.5575982874,7.79254048132,7.79263549175,7.79275427605,7.7928844234,258.881914886,260.82049588,262.765054021,263.78661987,265.178057342,266.418026905,267.39008445
2016-01-10,14.5574794019,14.5575264131,14.5575929148,7.79253459287,7.7926303431,7.79274805758,7.79287448606,258.693158008,260.643071679,262.632262727,263.683743718,265.11364835,266.363064923,267.326104725
